Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
COMPASS-A-58.75E,China 🇨🇳,58.75°E,Non-Planned,Early-Stage,No,n/a,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-A-58.75E&sel_satname=COMPASS-A-58.75E&plan_id=
COMPASS-58.75E,China 🇨🇳,58.75°E,Non-Planned,Late-Stage,Yes,No,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-58.75E&sel_satname=COMPASS-58.75E&plan_id=
COMPASS-30B-58.75E,China 🇨🇳,58.75°E,Planned,Early-Stage,No,n/a,No,0.10°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-30B-58.75E&sel_satname=COMPASS-30B-58.75E&plan_id=plan
AZERSAT-H (59E),Azerbaijan 🇦🇿,59.0°E,Non-Planned,Early-Stage,No,n/a,No,0.15°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AZERSAT-H+(59E)&sel_satname=AZERSAT-H+(59E)&plan_id=
AZERSAT-G (59E),Azerbaijan 🇦🇿,59.0°E,Non-Planned,Early-Stage,No,n/a,No,0.15°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AZERSAT-G+(59E)&sel_satname=AZERSAT-G+(59E)&plan_id=
HISPASAT-60A,Spain 🇪🇸,59.0°E,Non-Planned,Early-Stage,No,n/a,No,0.15°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-60A&sel_satname=HISPASAT-60A&plan_id=
IRANSAT-59E,Iran (Islamic Republic of) 🇮🇷,59.0°E,Non-Planned,Early-Stage,No,n/a,No,0.15°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-59E&sel_satname=IRANSAT-59E&plan_id=
CVA00000,Vatican 🇻🇦,59.0°E,Planned,Early-Stage,No,n/a,No,0.15°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CVA00000&sel_satname=CVA00000&plan_id=plan
DFH-5-02A,China 🇨🇳,59.0°E,Non-Planned,Early-Stage,No,n/a,No,0.15°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=DFH-5-02A&sel_satname=DFH-5-02A&plan_id=
BTN00000,Bhutan 🇧🇹,59.1°E,Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BTN00000&sel_satname=BTN00000&plan_id=plan
KAZ00000,Kazakhstan 🇰🇿,58.5°E,Planned,Early-Stage,No,n/a,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=KAZ00000&sel_satname=KAZ00000&plan_id=plan
ARABSAT-10Q-58.5E,Saudi Arabia 🇸🇦,58.5°E,Non-Planned,Early-Stage,No,n/a,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-10Q-58.5E&sel_satname=ARABSAT-10Q-58.5E&plan_id=
KAZSAT1M,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Late-Stage,Yes,No,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=KAZSAT1M&sel_satname=KAZSAT1M&plan_id=
KAZSAT1A,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Early-Stage,No,n/a,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KAZSAT1A&sel_satname=KAZSAT1A&plan_id=
MADAR-58.5E,United Arab Emirates 🇦🇪,58.5°E,Non-Planned,Early-Stage,No,n/a,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-58.5E&sel_satname=MADAR-58.5E&plan_id=
KAZSAT-30B-58.5E,Kazakhstan 🇰🇿,58.5°E,Planned,Early-Stage,No,n/a,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=KAZSAT-30B-58.5E&sel_satname=KAZSAT-30B-58.5E&plan_id=plan
KAZSAT1,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Late-Stage,Yes,No,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=KAZSAT1&sel_satname=KAZSAT1&plan_id=
KAZSAT-KA-58.5E,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Early-Stage,No,n/a,No,0.35°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KAZSAT-KA-58.5E&sel_satname=KAZSAT-KA-58.5E&plan_id=
CYP-SAT-KM-58.45E,Cyprus 🇨🇾,58.45°E,Non-Planned,Early-Stage,No,n/a,No,0.40°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-58.45E&sel_satname=CYP-SAT-KM-58.45E&plan_id=
ETH00000,Ethiopia 🇪🇹,58.3°E,Planned,Early-Stage,No,n/a,No,0.55°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ETH00000&sel_satname=ETH00000&plan_id=plan
ETHIOSAT-1,Ethiopia 🇪🇹,58.3°E,Non-Planned,Early-Stage,No,n/a,No,0.55°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ETHIOSAT-1&sel_satname=ETHIOSAT-1&plan_id=
ETHIOSAT-1,Ethiopia 🇪🇹,58.3°E,Planned,Early-Stage,No,n/a,No,0.55°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ETHIOSAT-1&sel_satname=ETHIOSAT-1&plan_id=plan
TOR-13M,Russian Federation 🇷🇺,58.0°E,Non-Planned,Late-Stage,Yes,No,No,0.85°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-13M&sel_satname=TOR-13M&plan_id=
IRANSAT-B-58E,Iran (Islamic Republic of) 🇮🇷,58.0°E,Non-Planned,Early-Stage,No,n/a,No,0.85°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-B-58E&sel_satname=IRANSAT-B-58E&plan_id=
CYP-30B-59.7E,Cyprus 🇨🇾,59.7°E,Planned,Early-Stage,No,n/a,No,0.85°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CYP-30B-59.7E&sel_satname=CYP-30B-59.7E&plan_id=plan
CYP-30B-59.7E-2,Cyprus 🇨🇾,59.7°E,Planned,Early-Stage,No,n/a,No,0.85°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CYP-30B-59.7E-2&sel_satname=CYP-30B-59.7E-2&plan_id=plan
CYP-30B-59.7E-4,Cyprus 🇨🇾,59.7°E,Planned,Early-Stage,No,n/a,No,0.85°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CYP-30B-59.7E-4&sel_satname=CYP-30B-59.7E-4&plan_id=plan
