Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
NMB00000,Namibia 🇳🇦,12.2°E,Planned,Early-Stage,No,n/a,No,0.05°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NMB00000&sel_satname=NMB00000&plan_id=plan
GALS-17,Russian Federation 🇷🇺,12.0°E,Non-Planned,Late-Stage,Yes,No,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GALS-17&sel_satname=GALS-17&plan_id=
GALS-M-2,Russian Federation 🇷🇺,12.0°E,Non-Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GALS-M-2&sel_satname=GALS-M-2&plan_id=
PROGNOZ-2,Russian Federation 🇷🇺,12.0°E,Non-Planned,Late-Stage,Yes,No,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PROGNOZ-2&sel_satname=PROGNOZ-2&plan_id=
RGS-S-12E,Russian Federation 🇷🇺,12.0°E,Non-Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=RGS-S-12E&sel_satname=RGS-S-12E&plan_id=
STATSIONAR-27,Russian Federation 🇷🇺,12.0°E,Non-Planned,Late-Stage,Yes,No,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-27&sel_satname=STATSIONAR-27&plan_id=
TOR-18M,Russian Federation 🇷🇺,12.0°E,Non-Planned,Late-Stage,Yes,No,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-18M&sel_satname=TOR-18M&plan_id=
VOLNA-27,Russian Federation 🇷🇺,12.0°E,Non-Planned,Late-Stage,Yes,No,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VOLNA-27&sel_satname=VOLNA-27&plan_id=
BV-SAT-12E,Russian Federation 🇷🇺,12.0°E,Non-Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=BV-SAT-12E&sel_satname=BV-SAT-12E&plan_id=
F-SAT-P-30B-12.7E-F,France 🇫🇷,12.7°E,Planned,Early-Stage,No,n/a,No,0.45°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-12.7E-F&sel_satname=F-SAT-P-30B-12.7E-F&plan_id=plan
SICRAL-3H,Italy 🇮🇹,11.8°E,Non-Planned,Late-Stage,Yes,No,No,0.45°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=SICRAL-3H&sel_satname=SICRAL-3H&plan_id=
ENSAT-12.8E,Russian Federation 🇷🇺,12.8°E,Non-Planned,Late-Stage,No,No,No,0.55°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ENSAT-12.8E&sel_satname=ENSAT-12.8E&plan_id=
F-SAT-T-E-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-T-E-13E&sel_satname=F-SAT-T-E-13E&plan_id=
F-SAT-RN-13E,France 🇫🇷,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-RN-13E&sel_satname=F-SAT-RN-13E&plan_id=
GENESIS-8,Germany 🇩🇪,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GENESIS-8&sel_satname=GENESIS-8&plan_id=
F-SAT-KU2-E-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-KU2-E-13E&sel_satname=F-SAT-KU2-E-13E&plan_id=
F-SAT-N-E-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N-E-13E&sel_satname=F-SAT-N-E-13E&plan_id=
GENESIS-11,Germany 🇩🇪,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GENESIS-11&sel_satname=GENESIS-11&plan_id=
F-SAT-N3-13E,France 🇫🇷,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N3-13E&sel_satname=F-SAT-N3-13E&plan_id=
EUTELSAT 3-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+3-13E&sel_satname=EUTELSAT+3-13E&plan_id=
EUTELSAT 2-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+2-13E&sel_satname=EUTELSAT+2-13E&plan_id=
F-SAT-N7-13E,France 🇫🇷,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-13E&sel_satname=F-SAT-N7-13E&plan_id=
EUTELSAT EXB-13E,France 🇫🇷,13.0°E,Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-13E&sel_satname=EUTELSAT+EXB-13E&plan_id=plan
GENESIS-18,Germany 🇩🇪,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GENESIS-18&sel_satname=GENESIS-18&plan_id=
CYP-SAT-KM-13E,Cyprus 🇨🇾,13.0°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-13E&sel_satname=CYP-SAT-KM-13E&plan_id=
F-SAT-E-30B-13E,France 🇫🇷,13.0°E,Planned,Early-Stage,Yes,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-E-30B-13E&sel_satname=F-SAT-E-30B-13E&plan_id=plan
F-SAT-30B-13E,France 🇫🇷,13.0°E,Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-13E&sel_satname=F-SAT-30B-13E&plan_id=plan
EUTELSAT EXB-37.2W,France 🇫🇷,13.0°E,Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-37.2W&sel_satname=EUTELSAT+EXB-37.2W&plan_id=plan
EUTELSAT-B1-13E,France 🇫🇷,13.0°E,Non-Planned,Late-Stage,Yes,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT-B1-13E&sel_satname=EUTELSAT-B1-13E&plan_id=
F-SAT-P-30B-13E-F,France 🇫🇷,13.0°E,Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-13E-F&sel_satname=F-SAT-P-30B-13E-F&plan_id=plan
F-SAT-30B-11.5E,France 🇫🇷,11.5°E,Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-11.5E&sel_satname=F-SAT-30B-11.5E&plan_id=plan
F-SAT-N7-11.5E,France 🇫🇷,11.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-11.5E&sel_satname=F-SAT-N7-11.5E&plan_id=
F-SAT-N6-11.5E,France 🇫🇷,11.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-11.5E&sel_satname=F-SAT-N6-11.5E&plan_id=
CYP-SAT-KM-11.5E,Cyprus 🇨🇾,11.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-11.5E&sel_satname=CYP-SAT-KM-11.5E&plan_id=
H2M-11.5E,Germany 🇩🇪,11.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=H2M-11.5E&sel_satname=H2M-11.5E&plan_id=
H2SAT-11.5E,Germany 🇩🇪,11.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=H2SAT-11.5E&sel_satname=H2SAT-11.5E&plan_id=
H2M-TNG-11.5E,Germany 🇩🇪,11.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=H2M-TNG-11.5E&sel_satname=H2M-TNG-11.5E&plan_id=
SIGNSAT-11E,China 🇨🇳,11.3°E,Non-Planned,Early-Stage,No,n/a,No,0.95°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-11E&sel_satname=SIGNSAT-11E&plan_id=
