NORAD ID,Longitude
26052,179.8716667
26056,-92.8235
26058,29.74130556
26071,-89.15388889
26089,-177.0756389
26095,22.17788889
26098,-171.87925
26107,105.0769444
26108,-81.42580556
26243,9.648166667
26298,27.42113889
26352,2.964
26356,-165.4610278
26369,48.16652778
26372,177.7821667
26382,-146.3418333
26388,89.36591667
26394,78.33011111
26402,-177.0723611
26451,-49.88086111
26469,-91.85686111
26470,128.7521111
26477,80.38636111
26487,68.79613889
26494,19.45544444
26495,-92.21408333
26554,175.9925556
26559,152.6821667
26575,134.4141944
26580,-138.9815833
26590,64.17313889
26599,-73.74730556
26608,157.1004167
26624,-107.29725
26638,57.20875
26639,-135.0029722
26643,107.0066667
26666,30.86994444
26695,-93.52258333
26715,175.8205278
26719,-132.8438056
26720,-154.9278333
26724,-7.76625
26761,-174.9142778
26766,47.401
26824,-27.5005
26853,23.64819444
26863,18.74741667
26871,94.89591667
26880,-49.60347222
26892,84.27622222
26900,-50.06480556
26927,172.0716111
26985,-176.3855556
27168,18.93508333
27298,15.77208333
27378,-118.7944722
27380,-29.47211111
27389,-61.74830556
27399,143.8026111
27400,-86.55702778
27403,-90.13244444
27414,-20.01783333
27426,-110.0826389
27438,-24.47991667
27441,-27.33430556
27445,-95.05855556
27460,-4.984361111
27461,106.2644167
27499,-3.487388889
27501,53.32258333
27508,-172.6396111
27509,41.36494444
27513,64.098
27516,-72.80866667
27525,-156.5316667
27528,-142.92125
27540,114.3349444
27554,17.6515
27566,-171.4614167
27603,-169.4969722
27632,-90.99930556
27683,154.4231944
27691,-130.0731944
27711,151.7721111
27714,72.73277778
27715,-128.9966111
27718,38.09330556
27807,85.49644444
27811,-95.15755556
27813,-129.086
27820,97.96247222
27825,44.05413889
27830,75.20297222
27831,155.7061111
27852,-92.01872222
27854,-120.9801111
27875,-42.30708333
27948,10.25516667
27951,73.58891667
27954,-127.0021667
28082,94.77388889
28089,163.4690278
28094,82.32791667
28117,75.51402778
28132,1.616111111
28134,-2.660694444
28137,-116.1323056
28154,-94.34547222
28158,87.50480556
28184,60.91716667
28187,-59.04994444
28194,16.50925
28238,-119.0770833
28252,-130.9866111
28358,0.978611111
28364,147.6915833
28378,-111.0528056
28393,168.0875556
28417,-162.6493889
28446,-105.0276389
28451,-33.73352778
28463,34.93819444
28472,-84.96027778
28526,-37.41466667
28542,28.97894444
28622,94.1875
28626,-85.11894444
28628,143.4196389
28629,-30.44886111
28638,-14.53202778
28644,-107.4488333
28659,-119.0251389
28702,-88.95230556
28707,61.68683333
28786,119.483
28790,-124.9806389
28868,-107.28425
28884,-132.9967778
28885,46.95352778
28899,63.90302778
28902,156.9810278
28903,-138.8969167
28911,-169.7749722
28912,3.230388889
28924,173.9828333
28935,-110.1660278
28937,-119.4262778
28945,-29.96019444
28946,12.97730556
29045,132.0471111
29055,19.14841667
29155,61.33291667
29162,-112.9856944
29163,-35.13344444
29236,-98.97452778
29270,13.00725
29272,127.9682222
29273,-5.198527778
29349,113.0338056
29398,68.47522222
29494,-101.1682222
29495,159.9876111
29520,-115.29375
29526,25.96927778
29640,-125.2043056
29643,-111.1686944
29644,-82.96125
29648,91.49530556
29656,-70.27116667
30793,85.422
30794,95.1585
31102,-118.6655
31306,19.18238889
31307,-90.96086111
31395,88.34561111
31577,140.8230556
31800,115.4708056
31862,-102.7879722
32018,-94.95855556
32019,109.8016667
32050,-99.01138889
32252,151.9833611
32253,-42.96858333
32258,5.965
32293,-64.96905556
32294,25.03661111
32299,4.809222222
32373,68.72102778
32387,-66.53358333
32388,84.82138889
32404,98.43877778
32478,96.49083333
32487,0.747
32500,-5.029722222
32708,17.25363889
32729,-99.16283333
32763,-92.80022222
32767,131.9324444
32768,-69.99316667
32779,79.83763889
32794,-4.120694444
32951,-122.9635556
33051,92.15655556
33055,-17.82763889
33056,41.98866667
33108,71.00858333
33153,-31.50175
33154,26.03791667
33207,-109.9534444
33274,143.9419167
33275,-124.8782222
33278,-97.97027778
33373,-81.97847222
33376,-96.96444444
33414,-55.86119444
33436,19.19802778
33453,-128.8293056
33459,12.99988889
33460,48.08108333
33463,86.96908333
33595,-10.99630556
33596,12.63605556
33749,-176.9250833
33750,33.05902778
34111,-37.54763889
34264,-116.4516944
34710,9.970166667
34713,56.80633333
34779,19.57872222
34941,108.2408611
35362,91.44583333
35491,-104.1055556
35493,-86.1465
35496,-110.9566389
35696,100.4965556
35755,168.8768611
35756,155.9722778
35812,112.9196389
35873,-72.67602778
35942,-60.96580556
35943,62.96558333
36032,56.96733333
36033,0.832861111
36097,-44.9685
36101,35.84747222
36106,85.11352778
36108,-11.98630556
36131,-102.7144722
36287,140.4354167
36358,84.96161111
36397,-76.16422222
36411,-128.2585556
36499,-118.8585556
36516,-100.9656389
36581,23.46572222
36582,13.25991667
36590,79.65808333
36592,25.98491667
36744,128.1656667
36745,30.48747222
36792,-61.62891667
36830,-6.982694444
36831,2.872027778
36868,4.065333333
37150,125.0966667
37185,-85.23636111
37207,109.8030833
37210,160.03475
37218,-101.2666111
37234,126.4166667
37237,117.4063056
37238,65.95677778
37258,9.046138889
37264,-29.99522222
37265,115.9913611
37344,-13.201
37392,32.77238889
37393,52.45536111
37481,66.17902778
37602,-62.96630556
37605,54.99544444
37606,87.98627778
37677,110.5316389
37737,171.175
37746,83.08544444
37748,-102.9669444
37749,86.5245
37775,19.23894444
37776,109.9568333
37779,37.99969444
37804,129.8017222
37806,-17.02302778
37809,-86.96022222
37810,19.95836111
37816,-7.325416667
37826,-76.95975
37834,179.9928056
37836,15.97375
37843,-115.0855556
37933,105.4753056
37950,47.59830556
37951,166.9919444
38014,42.50541667
38049,112.1812222
38070,88.37902778
38087,-22.003
38091,58.69675
38098,72.06522222
38101,-26.31897222
38107,76.47066667
38245,47.56994444
38254,-67.58633333
38331,123.9981667
38332,131.8156111
38342,-91.08630556
38352,98.22025
38356,165.9897778
38551,-107.0833611
38552,9.525111111
38652,4.964833333
38730,20.43836111
38740,68.48091667
38741,31.00877778
38749,-57.96711111
38778,28.14869444
38779,82.97202778
38867,-52.96191667
38953,83.95969444
38977,-16.45227778
38978,-177.0518889
38991,-75.04308333
38992,21.57152778
