License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
SLM00000,Solomon Islands 🇸🇧,147.5°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SLM00000&sel_satname=SLM00000&plan_id=plan
SIGNSAT-148E,China 🇨🇳,147.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-148E&sel_satname=SIGNSAT-148E&plan_id=
ASIASAT-147.5Q,China 🇨🇳,147.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-147.5Q&sel_satname=ASIASAT-147.5Q&plan_id=
LUX-G15-26,Luxembourg 🇱🇺,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G15-26&sel_satname=LUX-G15-26&plan_id=
MEASAT-2C_1,Malaysia 🇲🇾,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-2C_1&sel_satname=MEASAT-2C_1&plan_id=
UK-KA-148E-VB,United Kingdom 🇬🇧,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-148E-VB&sel_satname=UK-KA-148E-VB&plan_id=
UK-KA-148E,United Kingdom 🇬🇧,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-148E&sel_satname=UK-KA-148E&plan_id=
AUS-NBN-148E,Australia 🇦🇺,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AUS-NBN-148E&sel_satname=AUS-NBN-148E&plan_id=
SE-8-148E,Norway 🇳🇴,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-148E&sel_satname=SE-8-148E&plan_id=
MEASAT-2D,Malaysia 🇲🇾,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-2D&sel_satname=MEASAT-2D&plan_id=
MADAR-148E,United Arab Emirates 🇦🇪,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-148E&sel_satname=MADAR-148E&plan_id=
MEASAT-2C,Malaysia 🇲🇾,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-2C&sel_satname=MEASAT-2C&plan_id=
KOREASAT-148K,Korea (Rep. of) 🇰🇷,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KOREASAT-148K&sel_satname=KOREASAT-148K&plan_id=
MADAR-148E-2,United Arab Emirates 🇦🇪,148.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-148E-2&sel_satname=MADAR-148E-2&plan_id=
LUX-G10-26,Luxembourg 🇱🇺,148.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G10-26&sel_satname=LUX-G10-26&plan_id=
INMARSAT-6-147E,United Kingdom 🇬🇧,147.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-6-147E&sel_satname=INMARSAT-6-147E&plan_id=
CHNNEWSAT-G1-148.2E,China 🇨🇳,148.2°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-148.2E&sel_satname=CHNNEWSAT-G1-148.2E&plan_id=
QXSI-148.3E-EX-L,China 🇨🇳,148.3°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QXSI-148.3E-EX-L&sel_satname=QXSI-148.3E-EX-L&plan_id=
CHNHTSAT-146.7E,China 🇨🇳,146.7°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNHTSAT-146.7E&sel_satname=CHNHTSAT-146.7E&plan_id=
IDRSS-PFSS-148.5E,India 🇮🇳,148.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IDRSS-PFSS-148.5E&sel_satname=IDRSS-PFSS-148.5E&plan_id=plan
