License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
USASAT-14I,United States 🇺🇸,68.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-14I&sel_satname=USASAT-14I&plan_id=
NEW DAWN 27-1,Papua New Guinea 🇵🇬,68.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NEW+DAWN+27-1&sel_satname=NEW+DAWN+27-1&plan_id=
USASAT-101D,United States 🇺🇸,68.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=USASAT-101D&sel_satname=USASAT-101D&plan_id=plan
NEW DAWN 27,Papua New Guinea 🇵🇬,68.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NEW+DAWN+27&sel_satname=NEW+DAWN+27&plan_id=
USASAT-71N,United States 🇺🇸,68.5°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-71N&sel_satname=USASAT-71N&plan_id=
USASAT-60C,United States 🇺🇸,68.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60C&sel_satname=USASAT-60C&plan_id=
USASAT-14I-3,United States 🇺🇸,68.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-14I-3&sel_satname=USASAT-14I-3&plan_id=
ODYSSEY FSS-68.5E,Germany 🇩🇪,68.5°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ODYSSEY+FSS-68.5E&sel_satname=ODYSSEY+FSS-68.5E&plan_id=plan
KYPROS-68.5E,Cyprus 🇨🇾,68.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-68.5E&sel_satname=KYPROS-68.5E&plan_id=
TOR-14M,Russian Federation 🇷🇺,69.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TOR-14M&sel_satname=TOR-14M&plan_id=
GALS-14,Russian Federation 🇷🇺,69.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GALS-14&sel_satname=GALS-14&plan_id=
INSAT-KA68E,India 🇮🇳,68.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-KA68E&sel_satname=INSAT-KA68E&plan_id=
CHNNEWSAT-G1-68E,China 🇨🇳,68.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-68E&sel_satname=CHNNEWSAT-G1-68E&plan_id=
INSAT-EHFL-68E,India 🇮🇳,68.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-EHFL-68E&sel_satname=INSAT-EHFL-68E&plan_id=
