License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
INSAT-EXC(71E),India 🇮🇳,71.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INSAT-EXC(71E)&sel_satname=INSAT-EXC(71E)&plan_id=plan
AFS00000,South Africa 🇿🇦,71.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AFS00000&sel_satname=AFS00000&plan_id=plan
ARM00000,Armenia 🇦🇲,71.4°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ARM00000&sel_satname=ARM00000&plan_id=plan
IRANSAT-70.5E,Iran (Islamic Republic of) 🇮🇷,70.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-70.5E&sel_satname=IRANSAT-70.5E&plan_id=
IRANSAT-B-70.5E,Iran (Islamic Republic of) 🇮🇷,70.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-B-70.5E&sel_satname=IRANSAT-B-70.5E&plan_id=
F-SAT-N9-70.5E,France 🇫🇷,70.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N9-70.5E&sel_satname=F-SAT-N9-70.5E&plan_id=
F-SAT-N7-70.5E,France 🇫🇷,70.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-70.5E&sel_satname=F-SAT-N7-70.5E&plan_id=
F-SAT-N3-70.5E,France 🇫🇷,70.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-70.5E&sel_satname=F-SAT-N3-70.5E&plan_id=
EUTELSAT 3-70.5E,France 🇫🇷,70.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+3-70.5E&sel_satname=EUTELSAT+3-70.5E&plan_id=
F-SAT-N-E-70.5E,France 🇫🇷,70.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-70.5E&sel_satname=F-SAT-N-E-70.5E&plan_id=
F-SAT-KU3-E-70.5E,France 🇫🇷,70.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-KU3-E-70.5E&sel_satname=F-SAT-KU3-E-70.5E&plan_id=
