License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
NUSANTARA-H3-A,Indonesia 🇮🇩,159.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-H3-A&sel_satname=NUSANTARA-H3-A&plan_id=
PACIFISAT-159E,Papua New Guinea 🇵🇬,159.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PACIFISAT-159E&sel_satname=PACIFISAT-159E&plan_id=
UK-KA-159E,United Kingdom 🇬🇧,159.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-159E&sel_satname=UK-KA-159E&plan_id=
UKDSAT-G,United Kingdom 🇬🇧,159.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKDSAT-G&sel_satname=UKDSAT-G&plan_id=
SE-8-159E,Norway 🇳🇴,159.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-159E&sel_satname=SE-8-159E&plan_id=
PESSE-159E,Netherlands 🇳🇱,159.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-159E&sel_satname=PESSE-159E&plan_id=
SMMSAT-7R,Sweden 🇸🇪,159.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SMMSAT-7R&sel_satname=SMMSAT-7R&plan_id=
PACIFISAT KA-2 159E,Papua New Guinea 🇵🇬,159.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PACIFISAT+KA-2+159E&sel_satname=PACIFISAT+KA-2+159E&plan_id=
SMMSAT-7R_1,Sweden 🇸🇪,159.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SMMSAT-7R_1&sel_satname=SMMSAT-7R_1&plan_id=
PACIFISAT C/KU-2,Papua New Guinea 🇵🇬,159.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PACIFISAT+C/KU-2&sel_satname=PACIFISAT+C/KU-2&plan_id=
SIGNSAT-160E,China 🇨🇳,158.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-160E&sel_satname=SIGNSAT-160E&plan_id=
F-SAT-N7-159.5E,France 🇫🇷,159.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-159.5E&sel_satname=F-SAT-N7-159.5E&plan_id=
F-SAT-30B-159.5E,France 🇫🇷,159.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-159.5E&sel_satname=F-SAT-30B-159.5E&plan_id=plan
SUPERBIRD-A2,Japan 🇯🇵,158.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SUPERBIRD-A2&sel_satname=SUPERBIRD-A2&plan_id=
JMCS-3A,Japan 🇯🇵,158.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JMCS-3A&sel_satname=JMCS-3A&plan_id=
SUPERBIRD-A2-R,Japan 🇯🇵,158.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SUPERBIRD-A2-R&sel_satname=SUPERBIRD-A2-R&plan_id=
SUPERBIRD-A,Japan 🇯🇵,158.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SUPERBIRD-A&sel_satname=SUPERBIRD-A&plan_id=
UK-KA-158E,United Kingdom 🇬🇧,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-158E&sel_satname=UK-KA-158E&plan_id=
UK-KA-158E-VB,United Kingdom 🇬🇧,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-158E-VB&sel_satname=UK-KA-158E-VB&plan_id=
CNSAT-158E,China 🇨🇳,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CNSAT-158E&sel_satname=CNSAT-158E&plan_id=
JMCS-5A,Japan 🇯🇵,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=JMCS-5A&sel_satname=JMCS-5A&plan_id=
JMCS-6-158E,Japan 🇯🇵,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=JMCS-6-158E&sel_satname=JMCS-6-158E&plan_id=
KOREASAT-158K,Korea (Rep. of) 🇰🇷,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KOREASAT-158K&sel_satname=KOREASAT-158K&plan_id=
N-SAT-Y22-158E,Japan 🇯🇵,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-158E&sel_satname=N-SAT-Y22-158E&plan_id=
PESSE-158E,Netherlands 🇳🇱,158.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-158E&sel_satname=PESSE-158E&plan_id=
TUV00000,Tuvalu 🇹🇻,158.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=TUV00000&sel_satname=TUV00000&plan_id=plan
