License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
F-SAT-N7-152E,France 🇫🇷,152.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-152E&sel_satname=F-SAT-N7-152E&plan_id=
NZL00002,New Zealand 🇳🇿,152.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NZL00002&sel_satname=NZL00002&plan_id=plan
AUSSAT B 152E,Australia 🇦🇺,152.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUSSAT+B+152E&sel_satname=AUSSAT+B+152E&plan_id=
MADAR-152E-2,United Arab Emirates 🇦🇪,152.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-152E-2&sel_satname=MADAR-152E-2&plan_id=
AUSSAT-H-152E,Australia 🇦🇺,152.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AUSSAT-H-152E&sel_satname=AUSSAT-H-152E&plan_id=
N-SAT-Y19-152E,Japan 🇯🇵,152.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y19-152E&sel_satname=N-SAT-Y19-152E&plan_id=
MADAR-152E,United Arab Emirates 🇦🇪,152.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-152E&sel_satname=MADAR-152E&plan_id=
CD-SAT-152E-G2,France 🇫🇷,152.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CD-SAT-152E-G2&sel_satname=CD-SAT-152E-G2&plan_id=
F-SAT-30B-152E,France 🇫🇷,152.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-152E&sel_satname=F-SAT-30B-152E&plan_id=plan
F-SAT-P-30B-152E-F,France 🇫🇷,152.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-152E-F&sel_satname=F-SAT-P-30B-152E-F&plan_id=plan
NZL00001,New Zealand 🇳🇿,152.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NZL00001&sel_satname=NZL00001&plan_id=plan
USGAE-9R,United States 🇺🇸,152.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-9R&sel_satname=USGAE-9R&plan_id=
J  00000,Japan 🇯🇵,152.5°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=J++00000&sel_satname=J++00000&plan_id=plan
CHNHTSAT-152.5E,China 🇨🇳,152.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNHTSAT-152.5E&sel_satname=CHNHTSAT-152.5E&plan_id=
LH-SAT-151.5E-G2,France 🇫🇷,151.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LH-SAT-151.5E-G2&sel_satname=LH-SAT-151.5E-G2&plan_id=
LH-SAT-FSS-151.5E-G2,France 🇫🇷,151.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=LH-SAT-FSS-151.5E-G2&sel_satname=LH-SAT-FSS-151.5E-G2&plan_id=plan
CNSAT-152.8E,China 🇨🇳,152.8°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CNSAT-152.8E&sel_satname=CNSAT-152.8E&plan_id=
SIGNSAT-151E_1,China 🇨🇳,151.2°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-151E_1&sel_satname=SIGNSAT-151E_1&plan_id=
ADF POR-1,Australia 🇦🇺,153.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ADF+POR-1&sel_satname=ADF+POR-1&plan_id=
NUSANTARA-TS2-A,Indonesia 🇮🇩,153.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-TS2-A&sel_satname=NUSANTARA-TS2-A&plan_id=
AGILA-A1,Philippines 🇵🇭,153.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AGILA-A1&sel_satname=AGILA-A1&plan_id=
