License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
USGCSS PH3B W PAC-2,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3B+W+PAC-2&sel_satname=USGCSS+PH3B+W+PAC-2&plan_id=
INTELSAT5 PAC3,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT5+PAC3&sel_satname=INTELSAT5+PAC3&plan_id=
INMARSAT-KA 180E,United Kingdom 🇬🇧,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-KA+180E&sel_satname=INMARSAT-KA+180E&plan_id=
USGOVSAT-1R,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-1R&sel_satname=USGOVSAT-1R&plan_id=
SE-KA-180E,Norway 🇳🇴,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SE-KA-180E&sel_satname=SE-KA-180E&plan_id=
USASAT-55R,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55R&sel_satname=USASAT-55R&plan_id=
USASAT-60Z,United States 🇺🇸,180.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-60Z&sel_satname=USASAT-60Z&plan_id=
USGCSS PH3 W PAC-2,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3+W+PAC-2&sel_satname=USGCSS+PH3+W+PAC-2&plan_id=
SE-KA-180E-QV,Norway 🇳🇴,180.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-KA-180E-QV&sel_satname=SE-KA-180E-QV&plan_id=
USGOVSAT-1B,United States 🇺🇸,180.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-1B&sel_satname=USGOVSAT-1B&plan_id=
INTELSAT5A 180E,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT5A+180E&sel_satname=INTELSAT5A+180E&plan_id=
INTELSAT7 180E,United States 🇺🇸,180.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+180E&sel_satname=INTELSAT7+180E&plan_id=
