License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
GENESIS-11,Germany 🇩🇪,13.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GENESIS-11&sel_satname=GENESIS-11&plan_id=
F-SAT-RN-13E,France 🇫🇷,13.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-RN-13E&sel_satname=F-SAT-RN-13E&plan_id=
GENESIS-18,Germany 🇩🇪,13.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GENESIS-18&sel_satname=GENESIS-18&plan_id=
F-SAT-N7-13E,France 🇫🇷,13.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-13E&sel_satname=F-SAT-N7-13E&plan_id=
F-SAT-T-E-13E,France 🇫🇷,13.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-T-E-13E&sel_satname=F-SAT-T-E-13E&plan_id=
CYP-SAT-KM-13E,Cyprus 🇨🇾,13.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-13E&sel_satname=CYP-SAT-KM-13E&plan_id=
GENESIS-8,Germany 🇩🇪,13.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GENESIS-8&sel_satname=GENESIS-8&plan_id=
EUTELSAT 3-13E,France 🇫🇷,13.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+3-13E&sel_satname=EUTELSAT+3-13E&plan_id=
EUTELSAT-B1-13E,France 🇫🇷,13.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT-B1-13E&sel_satname=EUTELSAT-B1-13E&plan_id=
F-SAT-N-E-13E,France 🇫🇷,13.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-13E&sel_satname=F-SAT-N-E-13E&plan_id=
F-SAT-KU2-E-13E,France 🇫🇷,13.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-KU2-E-13E&sel_satname=F-SAT-KU2-E-13E&plan_id=
EUTELSAT 2-13E,France 🇫🇷,13.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+2-13E&sel_satname=EUTELSAT+2-13E&plan_id=
EUTELSAT EXB-37.2W,France 🇫🇷,13.0°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-37.2W&sel_satname=EUTELSAT+EXB-37.2W&plan_id=plan
