Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
KTSAT-114.5E,Korea (Rep. of) 🇰🇷,114.5°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KTSAT-114.5E&sel_satname=KTSAT-114.5E&plan_id=
MEASAT-ROUTE-1C,Malaysia 🇲🇾,114.5°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-1C&sel_satname=MEASAT-ROUTE-1C&plan_id=
MEASAT-ROUTE-1C_1,Malaysia 🇲🇾,114.5°E,Non-Planned,Early-Stage,No,n/a,No,0.02°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-1C_1&sel_satname=MEASAT-ROUTE-1C_1&plan_id=
GLOBEBAND-114.25E,Cyprus 🇨🇾,114.25°E,Non-Planned,Early-Stage,No,n/a,No,0.23°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GLOBEBAND-114.25E&sel_satname=GLOBEBAND-114.25E&plan_id=
USWASP-4,United States 🇺🇸,114.1°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USWASP-4&sel_satname=USWASP-4&plan_id=
INSAT-KA114E,India 🇮🇳,114.0°E,Non-Planned,Early-Stage,No,n/a,No,0.48°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KA114E&sel_satname=INSAT-KA114E&plan_id=
KYPROS-115.3E,Cyprus 🇨🇾,115.3°E,Non-Planned,Early-Stage,No,n/a,No,0.82°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-115.3E&sel_satname=KYPROS-115.3E&plan_id=
CHINGGIS,Mongolia 🇲🇳,113.6°E,Planned,Early-Stage,No,n/a,No,0.88°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CHINGGIS&sel_satname=CHINGGIS&plan_id=plan
MNG00000,Mongolia 🇲🇳,113.6°E,Planned,Early-Stage,No,n/a,No,0.88°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MNG00000&sel_satname=MNG00000&plan_id=plan
INS00000,Indonesia 🇮🇩,115.4°E,Planned,Early-Stage,No,n/a,No,0.92°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INS00000&sel_satname=INS00000&plan_id=plan
