Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
CHNNEWSAT-G1-125W,China 🇨🇳,125.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-125W&sel_satname=CHNNEWSAT-G1-125W&plan_id=
USASAT-22B,United States 🇺🇸,125.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-22B&sel_satname=USASAT-22B&plan_id=
USASAT-35D,United States 🇺🇸,125.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35D&sel_satname=USASAT-35D&plan_id=
AM-SAT 125W,United Kingdom 🇬🇧,125.0°W,Non-Planned,Late-Stage,Yes,No,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AM-SAT+125W&sel_satname=AM-SAT+125W&plan_id=
USASAT-80C,United States 🇺🇸,125.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-80C&sel_satname=USASAT-80C&plan_id=
USASAT-80C-1,United States 🇺🇸,125.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-80C-1&sel_satname=USASAT-80C-1&plan_id=
CHNNEWSAT-G2-125W,China 🇨🇳,125.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G2-125W&sel_satname=CHNNEWSAT-G2-125W&plan_id=
USASAT-50C,United States 🇺🇸,125.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-50C&sel_satname=USASAT-50C&plan_id=
GIBSAT-FSS 125W,United Kingdom 🇬🇧,125.0°W,Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GIBSAT-FSS+125W&sel_satname=GIBSAT-FSS+125W&plan_id=plan
USASAT-101F,United States 🇺🇸,125.0°W,Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=USASAT-101F&sel_satname=USASAT-101F&plan_id=plan
UKNETSAT-124.9W,United Kingdom 🇬🇧,124.9°W,Non-Planned,Early-Stage,No,n/a,No,0.13°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKNETSAT-124.9W&sel_satname=UKNETSAT-124.9W&plan_id=
UKFSS-124.9W,United Kingdom 🇬🇧,124.9°W,Planned,Early-Stage,No,n/a,No,0.13°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=UKFSS-124.9W&sel_satname=UKFSS-124.9W&plan_id=plan
SMO00000,Samoa 🇼🇸,125.5°W,Planned,Early-Stage,No,n/a,No,0.47°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SMO00000&sel_satname=SMO00000&plan_id=plan
USGAE-25A,United States 🇺🇸,124.2°W,Non-Planned,Late-Stage,Yes,Full,No,0.83°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-25A&sel_satname=USGAE-25A&plan_id=
