Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
ASIASAT-CKS,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKS&sel_satname=ASIASAT-CKS&plan_id=
ASIASAT-105.5P,China 🇨🇳,105.5°E,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-105.5P&sel_satname=ASIASAT-105.5P&plan_id=
ASIASAT-1,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-1&sel_satname=ASIASAT-1&plan_id=
ASIASAT-CK1,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CK1&sel_satname=ASIASAT-CK1&plan_id=
ASIASAT-CKX,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKX&sel_satname=ASIASAT-CKX&plan_id=
ASIASAT-CK,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CK&sel_satname=ASIASAT-CK&plan_id=
QXSI-105.5E-EX-L,China 🇨🇳,105.5°E,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QXSI-105.5E-EX-L&sel_satname=QXSI-105.5E-EX-L&plan_id=
ASIASAT-CKZ,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKZ&sel_satname=ASIASAT-CKZ&plan_id=
ASIASAT-CKW,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKW&sel_satname=ASIASAT-CKW&plan_id=
ASIASAT-105.5Q,China 🇨🇳,105.5°E,Non-Planned,Early-Stage,No,n/a,No,0.00°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-105.5Q&sel_satname=ASIASAT-105.5Q&plan_id=
GC-4-105.6E,China 🇨🇳,105.6°E,Non-Planned,Late-Stage,Yes,Partial,No,0.10°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GC-4-105.6E&sel_satname=GC-4-105.6E&plan_id=
CD-SAT-FSS-105.2E-G2,France 🇫🇷,105.2°E,Planned,Early-Stage,No,n/a,No,0.30°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CD-SAT-FSS-105.2E-G2&sel_satname=CD-SAT-FSS-105.2E-G2&plan_id=plan
DEF-R-SAT-7C,Australia 🇦🇺,106.0°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DEF-R-SAT-7C&sel_satname=DEF-R-SAT-7C&plan_id=
NUSANTARA-PS4-A,Indonesia 🇮🇩,106.0°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-PS4-A&sel_satname=NUSANTARA-PS4-A&plan_id=
ASIABSS,Australia 🇦🇺,105.0°E,Non-Planned,Late-Stage,Yes,No,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIABSS&sel_satname=ASIABSS&plan_id=
FY-2A,China 🇨🇳,105.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FY-2A&sel_satname=FY-2A&plan_id=
NYASIABSS,Papua New Guinea 🇵🇬,105.0°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NYASIABSS&sel_satname=NYASIABSS&plan_id=
FYGEOSAT-105E,China 🇨🇳,105.0°E,Non-Planned,Late-Stage,Yes,No,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FYGEOSAT-105E&sel_satname=FYGEOSAT-105E&plan_id=
FYGEOSAT-A-105E,China 🇨🇳,105.0°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FYGEOSAT-A-105E&sel_satname=FYGEOSAT-A-105E&plan_id=
FY-2AS,China 🇨🇳,105.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.50°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FY-2AS&sel_satname=FY-2AS&plan_id=
MADAR-106.5E,United Arab Emirates 🇦🇪,106.5°E,Non-Planned,Early-Stage,No,n/a,No,1.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-106.5E&sel_satname=MADAR-106.5E&plan_id=
USMB-13,United States 🇺🇸,106.5°E,Non-Planned,Late-Stage,Yes,No,No,1.00°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-13&sel_satname=USMB-13&plan_id=
