Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
PACIFISAT-FSS-39W,Papua New Guinea 🇵🇬,39.0°W,Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PACIFISAT-FSS-39W&sel_satname=PACIFISAT-FSS-39W&plan_id=plan
F-SAT-30B-39W,France 🇫🇷,39.0°W,Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-39W&sel_satname=F-SAT-30B-39W&plan_id=plan
DJCF-2A,United Kingdom 🇬🇧,39.0°W,Non-Planned,Late-Stage,Yes,No,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DJCF-2A&sel_satname=DJCF-2A&plan_id=
F-SAT-P-30B-39W-F,France 🇫🇷,39.0°W,Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-39W-F&sel_satname=F-SAT-P-30B-39W-F&plan_id=plan
HISPASAT-2-39W,Spain 🇪🇸,39.0°W,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-2-39W&sel_satname=HISPASAT-2-39W&plan_id=
F-SAT-N10-39W,France 🇫🇷,39.0°W,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N10-39W&sel_satname=F-SAT-N10-39W&plan_id=
HISPASAT-1-39W,Spain 🇪🇸,39.0°W,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-1-39W&sel_satname=HISPASAT-1-39W&plan_id=
USGAE-17R,United States 🇺🇸,39.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.04°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-17R&sel_satname=USGAE-17R&plan_id=
HISPASAT-56A,Spain 🇪🇸,39.0°W,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-56A&sel_satname=HISPASAT-56A&plan_id=
HISPASAT-56A_1,Spain 🇪🇸,39.0°W,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-56A_1&sel_satname=HISPASAT-56A_1&plan_id=
F-SAT-N7-39W,France 🇫🇷,39.0°W,Non-Planned,Early-Stage,No,n/a,No,0.04°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-39W&sel_satname=F-SAT-N7-39W&plan_id=
NGR00000,Niger 🇳🇪,38.5°W,Planned,Early-Stage,No,n/a,No,0.46°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NGR00000&sel_satname=NGR00000&plan_id=plan
MADAR-38.5W,United Arab Emirates 🇦🇪,38.5°W,Non-Planned,Early-Stage,No,n/a,No,0.46°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-38.5W&sel_satname=MADAR-38.5W&plan_id=
AMS-30B-A1-39.5W,Israel 🇮🇱,39.5°W,Planned,Early-Stage,No,n/a,No,0.54°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AMS-30B-A1-39.5W&sel_satname=AMS-30B-A1-39.5W&plan_id=plan
SIGNSAT-40W,China 🇨🇳,39.5°W,Non-Planned,Early-Stage,No,n/a,No,0.54°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-40W&sel_satname=SIGNSAT-40W&plan_id=
AMS-A11-39.5W,Israel 🇮🇱,39.5°W,Non-Planned,Early-Stage,No,n/a,No,0.54°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AMS-A11-39.5W&sel_satname=AMS-A11-39.5W&plan_id=
EG-SAT-38W,France 🇫🇷,38.0°W,Non-Planned,Early-Stage,No,n/a,No,0.96°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=EG-SAT-38W&sel_satname=EG-SAT-38W&plan_id=
USOBO-15B,United States 🇺🇸,38.0°W,Non-Planned,Early-Stage,No,n/a,No,0.96°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-15B&sel_satname=USOBO-15B&plan_id=
USGON-5,United States 🇺🇸,38.0°W,Non-Planned,Late-Stage,Yes,No,No,0.96°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-5&sel_satname=USGON-5&plan_id=
USOBO-15C,United States 🇺🇸,38.0°W,Non-Planned,Early-Stage,No,n/a,No,0.96°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-15C&sel_satname=USOBO-15C&plan_id=
