Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
CYP00000,Cyprus 🇨🇾,0.5°E,Planned,Early-Stage,No,n/a,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CYP00000&sel_satname=CYP00000&plan_id=plan
H2M-TNG-0.5E,Germany 🇩🇪,0.5°E,Non-Planned,Early-Stage,No,n/a,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=H2M-TNG-0.5E&sel_satname=H2M-TNG-0.5E&plan_id=
H2M-0.5E,Germany 🇩🇪,0.5°E,Non-Planned,Late-Stage,Yes,No,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=H2M-0.5E&sel_satname=H2M-0.5E&plan_id=
H2SAT-0.5E,Germany 🇩🇪,0.5°E,Non-Planned,Early-Stage,No,n/a,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=H2SAT-0.5E&sel_satname=H2SAT-0.5E&plan_id=
SIGNSAT-1E,China 🇨🇳,0.6°E,Non-Planned,Early-Stage,No,n/a,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-1E&sel_satname=SIGNSAT-1E&plan_id=
QATARSAT-G4-0.9E_1,Qatar 🇶🇦,0.9°E,Non-Planned,Early-Stage,No,n/a,No,0.39°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G4-0.9E_1&sel_satname=QATARSAT-G4-0.9E_1&plan_id=
QAT00000,Qatar 🇶🇦,0.9°E,Planned,Early-Stage,No,n/a,No,0.39°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=QAT00000&sel_satname=QAT00000&plan_id=plan
QATARSAT-30B-0.9E-G2,Qatar 🇶🇦,0.9°E,Planned,Early-Stage,No,n/a,No,0.39°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=QATARSAT-30B-0.9E-G2&sel_satname=QATARSAT-30B-0.9E-G2&plan_id=plan
NEWSAT-1A-1E,Italy 🇮🇹,1.0°E,Non-Planned,Early-Stage,No,n/a,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NEWSAT-1A-1E&sel_satname=NEWSAT-1A-1E&plan_id=
VOLNA-21,Russian Federation 🇷🇺,1.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-21&sel_satname=VOLNA-21&plan_id=
GALS-15,Russian Federation 🇷🇺,1.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GALS-15&sel_satname=GALS-15&plan_id=
