Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
B-SAT-53W,Brazil 🇧🇷,53.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=B-SAT-53W&sel_satname=B-SAT-53W&plan_id=
INTELSAT8 307E,United States 🇺🇸,53.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+307E&sel_satname=INTELSAT8+307E&plan_id=
INTELSAT7 307E,United States 🇺🇸,53.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+307E&sel_satname=INTELSAT7+307E&plan_id=
INTELSAT IBS 307E,United States 🇺🇸,53.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT+IBS+307E&sel_satname=INTELSAT+IBS+307E&plan_id=
ODYSSEY-53W,Germany 🇩🇪,53.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-53W&sel_satname=ODYSSEY-53W&plan_id=
INTELSAT9 307E,United States 🇺🇸,53.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT9+307E&sel_satname=INTELSAT9+307E&plan_id=
ODYSSEY FSS-53W,Germany 🇩🇪,53.0°W,Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-53W&sel_satname=ODYSSEY+FSS-53W&plan_id=plan
USASAT-55T,United States 🇺🇸,53.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55T&sel_satname=USASAT-55T&plan_id=
PACIFISAT-FSS-53W,Papua New Guinea 🇵🇬,53.0°W,Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PACIFISAT-FSS-53W&sel_satname=PACIFISAT-FSS-53W&plan_id=plan
HISPASAT-83A,Spain 🇪🇸,52.5°W,Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-83A&sel_satname=HISPASAT-83A&plan_id=plan
HISPASAT-46A_1,Spain 🇪🇸,52.5°W,Non-Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-46A_1&sel_satname=HISPASAT-46A_1&plan_id=
HISPASAT-63A,Spain 🇪🇸,52.5°W,Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-63A&sel_satname=HISPASAT-63A&plan_id=plan
HISPASAT-2-52.5W,Spain 🇪🇸,52.5°W,Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-2-52.5W&sel_satname=HISPASAT-2-52.5W&plan_id=plan
USGOVSAT-6R,United States 🇺🇸,52.5°W,Non-Planned,Late-Stage,Yes,Full,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-6R&sel_satname=USGOVSAT-6R&plan_id=
HISPASAT-3-52.5W,Spain 🇪🇸,52.5°W,Non-Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-3-52.5W&sel_satname=HISPASAT-3-52.5W&plan_id=
