Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
NSS-G4-26_1,Netherlands 🇳🇱,95.0°E,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G4-26_1&sel_satname=NSS-G4-26_1&plan_id=
INTELSAT KA 95E,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT+KA+95E&sel_satname=INTELSAT+KA+95E&plan_id=
INTELSAT5A 95E,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT5A+95E&sel_satname=INTELSAT5A+95E&plan_id=
INTELSAT7 95E,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+95E&sel_satname=INTELSAT7+95E&plan_id=
CSDRN-M,Russian Federation 🇷🇺,95.0°E,Planned,Late-Stage,Yes,No,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CSDRN-M&sel_satname=CSDRN-M&plan_id=plan
NSS-FSS-G2 95E,Netherlands 🇳🇱,95.0°E,Planned,Late-Stage,Yes,No,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-FSS-G2+95E&sel_satname=NSS-FSS-G2+95E&plan_id=plan
NSS-FSS-G3 95E,Netherlands 🇳🇱,95.0°E,Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS-G3+95E&sel_satname=NSS-FSS-G3+95E&plan_id=plan
CSDRN,Russian Federation 🇷🇺,95.0°E,Planned,Late-Stage,Yes,No,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CSDRN&sel_satname=CSDRN&plan_id=plan
NSS-KA41,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-KA41&sel_satname=NSS-KA41&plan_id=
NSS-G2-18,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-G2-18&sel_satname=NSS-G2-18&plan_id=
INTELSAT8 95E,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+95E&sel_satname=INTELSAT8+95E&plan_id=
NSS-9,Netherlands 🇳🇱,95.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-9&sel_satname=NSS-9&plan_id=
DDSP-4,Australia 🇦🇺,95.0°E,Non-Planned,Late-Stage,Yes,No,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DDSP-4&sel_satname=DDSP-4&plan_id=
