Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
LUX-G8-36,Luxembourg 🇱🇺,135.0°W,Non-Planned,Late-Stage,Yes,No,Total,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G8-36&sel_satname=LUX-G8-36&plan_id=
LUX-G15-37,Luxembourg 🇱🇺,135.0°W,Non-Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G15-37&sel_satname=LUX-G15-37&plan_id=
DIMENSION-7,United Kingdom 🇬🇧,135.0°W,Non-Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-7&sel_satname=DIMENSION-7&plan_id=
NSS-FSS 135W-1,Netherlands 🇳🇱,135.0°W,Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+135W-1&sel_satname=NSS-FSS+135W-1&plan_id=plan
USASAT-22K,United States 🇺🇸,135.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.18°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-22K&sel_satname=USASAT-22K&plan_id=
NSS-G7 135W,Netherlands 🇳🇱,135.0°W,Non-Planned,Early-Stage,No,n/a,No,0.18°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G7+135W&sel_satname=NSS-G7+135W&plan_id=
USGOVSAT-3R,United States 🇺🇸,135.0°W,Non-Planned,Late-Stage,Yes,Full,No,0.18°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-3R&sel_satname=USGOVSAT-3R&plan_id=
USASAT-21A,United States 🇺🇸,135.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.18°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-21A&sel_satname=USASAT-21A&plan_id=
USGCSS PH3B E PAC,United States 🇺🇸,135.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.18°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3B+E+PAC&sel_satname=USGCSS+PH3B+E+PAC&plan_id=
GTM00000,Guatemala 🇬🇹,135.7°W,Planned,Early-Stage,No,n/a,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GTM00000&sel_satname=GTM00000&plan_id=plan
