Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
NUSANTARA-B7A-30B,Indonesia 🇮🇩,150.5°E,Planned,Early-Stage,No,n/a,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NUSANTARA-B7A-30B&sel_satname=NUSANTARA-B7A-30B&plan_id=plan
NUSANTARA-BR1-E,Indonesia 🇮🇩,150.5°E,Non-Planned,Early-Stage,No,n/a,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-BR1-E&sel_satname=NUSANTARA-BR1-E&plan_id=
PALAPA-C4-A,Indonesia 🇮🇩,150.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4-A&sel_satname=PALAPA-C4-A&plan_id=
PALAPA-C4-K,Indonesia 🇮🇩,150.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4-K&sel_satname=PALAPA-C4-K&plan_id=
PALAPA-C4-B,Indonesia 🇮🇩,150.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4-B&sel_satname=PALAPA-C4-B&plan_id=
PALAPA-C4,Indonesia 🇮🇩,150.5°E,Non-Planned,Late-Stage,Yes,Partial,No,0.01°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4&sel_satname=PALAPA-C4&plan_id=
VUT00000,Vanuatu 🇻🇺,150.7°E,Planned,Early-Stage,No,n/a,No,0.21°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=VUT00000&sel_satname=VUT00000&plan_id=plan
KIR00000,Kiribati 🇰🇮,150.0°E,Planned,Early-Stage,No,n/a,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=KIR00000&sel_satname=KIR00000&plan_id=plan
N-SAT-Y22-150E,Japan 🇯🇵,150.0°E,Non-Planned,Early-Stage,No,n/a,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-150E&sel_satname=N-SAT-Y22-150E&plan_id=
USGCSS PH3B W PAC-3,United States 🇺🇸,150.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3B+W+PAC-3&sel_satname=USGCSS+PH3B+W+PAC-3&plan_id=
JCSAT-1,Japan 🇯🇵,150.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JCSAT-1&sel_satname=JCSAT-1&plan_id=
JCSAT-1R,Japan 🇯🇵,150.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JCSAT-1R&sel_satname=JCSAT-1R&plan_id=
N-SAT-Y18-150E,Japan 🇯🇵,150.0°E,Non-Planned,Early-Stage,No,n/a,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y18-150E&sel_satname=N-SAT-Y18-150E&plan_id=
UK-KA-150E,United Kingdom 🇬🇧,150.0°E,Non-Planned,Early-Stage,No,n/a,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-150E&sel_satname=UK-KA-150E&plan_id=
UK-KA-150E-VB,United Kingdom 🇬🇧,150.0°E,Non-Planned,Early-Stage,No,n/a,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-150E-VB&sel_satname=UK-KA-150E-VB&plan_id=
JCSAT-FO-150E,Japan 🇯🇵,150.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JCSAT-FO-150E&sel_satname=JCSAT-FO-150E&plan_id=
USGOVSAT-11R,United States 🇺🇸,150.0°E,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-11R&sel_satname=USGOVSAT-11R&plan_id=
N-SAT-Y12-150E,Japan 🇯🇵,150.0°E,Non-Planned,Late-Stage,Yes,No,Partial,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=N-SAT-Y12-150E&sel_satname=N-SAT-Y12-150E&plan_id=
