Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
ASIASAT-120P,China 🇨🇳,120.0°E,Non-Planned,Early-Stage,No,n/a,No,0.05°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-120P&sel_satname=ASIASAT-120P&plan_id=
THAICOM-A3,Thailand 🇹🇭,120.0°E,Non-Planned,Late-Stage,Yes,No,No,0.05°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=THAICOM-A3&sel_satname=THAICOM-A3&plan_id=
THAICOM-N3,Thailand 🇹🇭,120.0°E,Non-Planned,Late-Stage,Yes,No,No,0.05°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=THAICOM-N3&sel_satname=THAICOM-N3&plan_id=
DFH-5-04B,China 🇨🇳,120.0°E,Non-Planned,Early-Stage,No,Partial,No,0.05°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-5-04B&sel_satname=DFH-5-04B&plan_id=
NUSANTARA-WD2-A,Indonesia 🇮🇩,120.0°E,Non-Planned,Early-Stage,No,n/a,No,0.05°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-WD2-A&sel_satname=NUSANTARA-WD2-A&plan_id=
THAISAT-120E,Thailand 🇹🇭,120.0°E,Non-Planned,Early-Stage,No,n/a,No,0.05°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=THAISAT-120E&sel_satname=THAISAT-120E&plan_id=
ASIASAT-30B-120,China 🇨🇳,120.0°E,Planned,Late-Stage,Yes,No,No,0.05°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-30B-120&sel_satname=ASIASAT-30B-120&plan_id=plan
THAICOM-A3B,Thailand 🇹🇭,120.0°E,Non-Planned,Late-Stage,Yes,No,No,0.05°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=THAICOM-A3B&sel_satname=THAICOM-A3B&plan_id=
ASIASAT-120V,China 🇨🇳,120.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.05°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-120V&sel_satname=ASIASAT-120V&plan_id=
THAISAT-119.5E,Thailand 🇹🇭,119.5°E,Non-Planned,Early-Stage,No,n/a,No,0.45°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=THAISAT-119.5E&sel_satname=THAISAT-119.5E&plan_id=
IOMSAT-119.5E,United Kingdom 🇬🇧,119.5°E,Non-Planned,Early-Stage,No,n/a,No,0.45°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IOMSAT-119.5E&sel_satname=IOMSAT-119.5E&plan_id=
THAICOM-P3,Thailand 🇹🇭,119.5°E,Non-Planned,Late-Stage,Yes,No,No,0.45°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=THAICOM-P3&sel_satname=THAICOM-P3&plan_id=
