Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
AST-IKAU-117.9E,France 🇫🇷,117.9°E,Non-Planned,Early-Stage,No,n/a,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AST-IKAU-117.9E&sel_satname=AST-IKAU-117.9E&plan_id=
PALAPA-B3-EC,Indonesia 🇮🇩,118.0°E,Non-Planned,Late-Stage,Yes,No,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-B3-EC&sel_satname=PALAPA-B3-EC&plan_id=
NUSANTARA-B2-F,Indonesia 🇮🇩,118.0°E,Non-Planned,Early-Stage,No,n/a,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-B2-F&sel_satname=NUSANTARA-B2-F&plan_id=
CHNSAT-118E,China 🇨🇳,118.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.09°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHNSAT-118E&sel_satname=CHNSAT-118E&plan_id=
PALAPA-B3,Indonesia 🇮🇩,118.0°E,Non-Planned,Late-Stage,Yes,No,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-B3&sel_satname=PALAPA-B3&plan_id=
PALAPA-C3-K,Indonesia 🇮🇩,118.0°E,Non-Planned,Late-Stage,Yes,No,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C3-K&sel_satname=PALAPA-C3-K&plan_id=
CHNNEWSAT-G1-118E,China 🇨🇳,118.0°E,Non-Planned,Early-Stage,No,n/a,No,0.09°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-118E&sel_satname=CHNNEWSAT-G1-118E&plan_id=
CHNNEWSAT-G2-118E,China 🇨🇳,118.0°E,Non-Planned,Early-Stage,No,n/a,No,0.09°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G2-118E&sel_satname=CHNNEWSAT-G2-118E&plan_id=
NUSANTARA-B2G-30B,Indonesia 🇮🇩,118.0°E,Planned,Early-Stage,No,n/a,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NUSANTARA-B2G-30B&sel_satname=NUSANTARA-B2G-30B&plan_id=plan
PALAPA-B3 TT&C,Indonesia 🇮🇩,118.0°E,Non-Planned,Late-Stage,Yes,No,No,0.09°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-B3+TT&C&sel_satname=PALAPA-B3+TT&C&plan_id=
