Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
USASAT-66D,United States 🇺🇸,15.0°W,Non-Planned,Late-Stage,Yes,No,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-66D&sel_satname=USASAT-66D&plan_id=
IOMSAT-15W-B,United Kingdom 🇬🇧,15.0°W,Planned,Late-Stage,Yes,No,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-15W-B&sel_satname=IOMSAT-15W-B&plan_id=plan
IOMSAT-2A2,United Kingdom 🇬🇧,15.0°W,Non-Planned,Late-Stage,Yes,No,No,0.01°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-2A2&sel_satname=IOMSAT-2A2&plan_id=
FLTSATCOM-C E ATL-2,United States 🇺🇸,15.5°W,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+E+ATL-2&sel_satname=FLTSATCOM-C+E+ATL-2&plan_id=
IRIS-4A,United States 🇺🇸,15.5°W,Non-Planned,Late-Stage,Yes,No,No,0.49°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IRIS-4A&sel_satname=IRIS-4A&plan_id=
SIGNSAT-15W,China 🇨🇳,14.5°W,Non-Planned,Early-Stage,No,n/a,No,0.51°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-15W&sel_satname=SIGNSAT-15W&plan_id=
GOMS-14.5W,Russian Federation 🇷🇺,14.5°W,Non-Planned,Late-Stage,Yes,No,No,0.51°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOMS-14.5W&sel_satname=GOMS-14.5W&plan_id=
CTI00000,Côte d'Ivoire 🇨🇮,15.76°W,Planned,Early-Stage,No,n/a,No,0.75°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CTI00000&sel_satname=CTI00000&plan_id=plan
INTERSPUTNIK-16W-2,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.99°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-2&sel_satname=INTERSPUTNIK-16W-2&plan_id=
WSDRN,Russian Federation 🇷🇺,16.0°W,Non-Planned,Late-Stage,Yes,No,No,0.99°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN&sel_satname=WSDRN&plan_id=
