Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
CAN-BSS31,Canada 🇨🇦,91.0°W,Non-Planned,Late-Stage,Yes,No,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CAN-BSS31&sel_satname=CAN-BSS31&plan_id=
ODYSSEY FSS-91W,Germany 🇩🇪,91.0°W,Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-91W&sel_satname=ODYSSEY+FSS-91W&plan_id=plan
CANSAT-70,Canada 🇨🇦,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANSAT-70&sel_satname=CANSAT-70&plan_id=
USASAT-9A,United States 🇺🇸,91.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-9A&sel_satname=USASAT-9A&plan_id=
USASAT-24K,United States 🇺🇸,91.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24K&sel_satname=USASAT-24K&plan_id=
USASAT-35N,United States 🇺🇸,91.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35N&sel_satname=USASAT-35N&plan_id=
USASAT-60E,United States 🇺🇸,91.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60E&sel_satname=USASAT-60E&plan_id=
CAN-BSS64,Canada 🇨🇦,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CAN-BSS64&sel_satname=CAN-BSS64&plan_id=
MEASAT-ROUTE-4C,Malaysia 🇲🇾,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-4C&sel_satname=MEASAT-ROUTE-4C&plan_id=
ODYSSEY-91W,Germany 🇩🇪,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-91W&sel_satname=ODYSSEY-91W&plan_id=
CANSAT-74,Canada 🇨🇦,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANSAT-74&sel_satname=CANSAT-74&plan_id=
UKSAT-33,United Kingdom 🇬🇧,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-33&sel_satname=UKSAT-33&plan_id=
USASAT-66E,United States 🇺🇸,91.0°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-66E&sel_satname=USASAT-66E&plan_id=
CAN-BSS2 TTAC,Canada 🇨🇦,91.1°W,Non-Planned,Late-Stage,Yes,No,No,0.07°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CAN-BSS2+TTAC&sel_satname=CAN-BSS2+TTAC&plan_id=
BLZ00000,Belize 🇧🇿,90.8°W,Planned,Early-Stage,No,n/a,No,0.23°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BLZ00000&sel_satname=BLZ00000&plan_id=plan
IK-90.5W,Russian Federation 🇷🇺,90.5°W,Non-Planned,Early-Stage,No,n/a,No,0.53°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IK-90.5W&sel_satname=IK-90.5W&plan_id=
HTI00000,Haiti 🇭🇹,92.0°W,Planned,Early-Stage,No,n/a,No,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HTI00000&sel_satname=HTI00000&plan_id=plan
SBTS B4,Brazil 🇧🇷,92.0°W,Non-Planned,Late-Stage,Yes,No,Total,0.97°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SBTS+B4&sel_satname=SBTS+B4&plan_id=
