Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
USGON-1,United States 🇺🇸,70.0°E,Non-Planned,Late-Stage,Yes,No,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-1&sel_satname=USGON-1&plan_id=
USOBO-19C,United States 🇺🇸,70.0°E,Non-Planned,Early-Stage,No,n/a,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-19C&sel_satname=USOBO-19C&plan_id=
GALS-16,Russian Federation 🇷🇺,70.0°E,Non-Planned,Late-Stage,Yes,No,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GALS-16&sel_satname=GALS-16&plan_id=
RGS-S-70E,Russian Federation 🇷🇺,70.0°E,Non-Planned,Early-Stage,No,n/a,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=RGS-S-70E&sel_satname=RGS-S-70E&plan_id=
VOLNA-19,Russian Federation 🇷🇺,70.0°E,Non-Planned,Late-Stage,Yes,No,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VOLNA-19&sel_satname=VOLNA-19&plan_id=
TONGASAT-H70,Tonga 🇹🇴,70.0°E,Non-Planned,Late-Stage,Yes,No,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TONGASAT-H70&sel_satname=TONGASAT-H70&plan_id=
TOR-17M,Russian Federation 🇷🇺,70.0°E,Non-Planned,Late-Stage,Yes,No,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-17M&sel_satname=TOR-17M&plan_id=
USTRO-6,United States 🇺🇸,70.0°E,Non-Planned,Late-Stage,Yes,Partial,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USTRO-6&sel_satname=USTRO-6&plan_id=
BV-SAT-70E,Russian Federation 🇷🇺,70.0°E,Non-Planned,Early-Stage,No,n/a,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=BV-SAT-70E&sel_satname=BV-SAT-70E&plan_id=
STATSIONAR-20,Russian Federation 🇷🇺,70.0°E,Non-Planned,Late-Stage,Yes,No,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-20&sel_satname=STATSIONAR-20&plan_id=
USOBO-19B,United States 🇺🇸,70.0°E,Non-Planned,Early-Stage,No,n/a,No,0.07°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-19B&sel_satname=USOBO-19B&plan_id=
CYP-SAT-KM-70.5E,Cyprus 🇨🇾,70.5°E,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-70.5E&sel_satname=CYP-SAT-KM-70.5E&plan_id=
F-SAT-N-E-70.5E,France 🇫🇷,70.5°E,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N-E-70.5E&sel_satname=F-SAT-N-E-70.5E&plan_id=
F-SAT-KU3-E-70.5E,France 🇫🇷,70.5°E,Non-Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-KU3-E-70.5E&sel_satname=F-SAT-KU3-E-70.5E&plan_id=
F-SAT-P-30B-70.5E-F,France 🇫🇷,70.5°E,Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-70.5E-F&sel_satname=F-SAT-P-30B-70.5E-F&plan_id=plan
F-SAT-E-30B-70.5E,France 🇫🇷,70.5°E,Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-E-30B-70.5E&sel_satname=F-SAT-E-30B-70.5E&plan_id=plan
EUTELSAT-E-70.5E,France 🇫🇷,70.5°E,Non-Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT-E-70.5E&sel_satname=EUTELSAT-E-70.5E&plan_id=
EUTELSAT EXB-70.5E,France 🇫🇷,70.5°E,Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-70.5E&sel_satname=EUTELSAT+EXB-70.5E&plan_id=plan
EUTELSAT 3-70.5E,France 🇫🇷,70.5°E,Non-Planned,Late-Stage,Yes,No,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+3-70.5E&sel_satname=EUTELSAT+3-70.5E&plan_id=
IRANSAT-B-70.5E,Iran (Islamic Republic of) 🇮🇷,70.5°E,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-B-70.5E&sel_satname=IRANSAT-B-70.5E&plan_id=
F-SAT-N7-70.5E,France 🇫🇷,70.5°E,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-70.5E&sel_satname=F-SAT-N7-70.5E&plan_id=
F-SAT-N3-70.5E,France 🇫🇷,70.5°E,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N3-70.5E&sel_satname=F-SAT-N3-70.5E&plan_id=
F-SAT-30B-70.5E,France 🇫🇷,70.5°E,Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-70.5E&sel_satname=F-SAT-30B-70.5E&plan_id=plan
F-SAT-N9-70.5E,France 🇫🇷,70.5°E,Non-Planned,Early-Stage,No,n/a,No,0.43°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N9-70.5E&sel_satname=F-SAT-N9-70.5E&plan_id=
IRANSAT-B-69.5E,Iran (Islamic Republic of) 🇮🇷,69.5°E,Non-Planned,Early-Stage,No,n/a,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-B-69.5E&sel_satname=IRANSAT-B-69.5E&plan_id=
IK-69.5E,Russian Federation 🇷🇺,69.5°E,Non-Planned,Early-Stage,No,n/a,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IK-69.5E&sel_satname=IK-69.5E&plan_id=
AFS00000,South Africa 🇿🇦,71.0°E,Planned,Early-Stage,No,n/a,No,0.93°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AFS00000&sel_satname=AFS00000&plan_id=plan
INSAT-EXC(71E),India 🇮🇳,71.0°E,Planned,Early-Stage,No,n/a,No,0.93°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INSAT-EXC(71E)&sel_satname=INSAT-EXC(71E)&plan_id=plan
