Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
ROU-MILSATCOM4-36.5E,Romania 🇷🇴,36.5°E,Non-Planned,Early-Stage,No,n/a,No,0.12°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ROU-MILSATCOM4-36.5E&sel_satname=ROU-MILSATCOM4-36.5E&plan_id=
USGOVSAT-17A,United States 🇺🇸,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-17A&sel_satname=USGOVSAT-17A&plan_id=
F-SAT-KU3-E-36E,France 🇫🇷,36.0°E,Non-Planned,Late-Stage,Yes,No,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-KU3-E-36E&sel_satname=F-SAT-KU3-E-36E&plan_id=
EUTELSAT-KA-36E,France 🇫🇷,36.0°E,Non-Planned,Late-Stage,Yes,No,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT-KA-36E&sel_satname=EUTELSAT-KA-36E&plan_id=
F-SAT-N3-36E,France 🇫🇷,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N3-36E&sel_satname=F-SAT-N3-36E&plan_id=
F-SAT-N-E-36E,France 🇫🇷,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N-E-36E&sel_satname=F-SAT-N-E-36E&plan_id=
EUTELSAT 3-36E,France 🇫🇷,36.0°E,Non-Planned,Late-Stage,Yes,No,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+3-36E&sel_satname=EUTELSAT+3-36E&plan_id=
EUTELSAT 2-36E,France 🇫🇷,36.0°E,Non-Planned,Late-Stage,Yes,No,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+2-36E&sel_satname=EUTELSAT+2-36E&plan_id=
F-SAT-T-E-36E,France 🇫🇷,36.0°E,Non-Planned,Early-Stage,Yes,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-T-E-36E&sel_satname=F-SAT-T-E-36E&plan_id=
RST-1A,Russian Federation 🇷🇺,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=RST-1A&sel_satname=RST-1A&plan_id=
EXPRESS-KA-36E,Russian Federation 🇷🇺,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=EXPRESS-KA-36E&sel_satname=EXPRESS-KA-36E&plan_id=
F-SAT-N9-36E,France 🇫🇷,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N9-36E&sel_satname=F-SAT-N9-36E&plan_id=
FMS-UHF,France 🇫🇷,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS-UHF&sel_satname=FMS-UHF&plan_id=
EUTELSAT EXB-36E,France 🇫🇷,36.0°E,Planned,Late-Stage,No,No,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-36E&sel_satname=EUTELSAT+EXB-36E&plan_id=plan
F-SAT-30B-36E,France 🇫🇷,36.0°E,Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-36E&sel_satname=F-SAT-30B-36E&plan_id=plan
F-SAT-30B-1-36E,France 🇫🇷,36.0°E,Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-1-36E&sel_satname=F-SAT-30B-1-36E&plan_id=plan
F-SAT-N7-36E,France 🇫🇷,36.0°E,Non-Planned,Early-Stage,No,n/a,No,0.38°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-36E&sel_satname=F-SAT-N7-36E&plan_id=
S2,Saudi Arabia 🇸🇦,37.0°E,Non-Planned,Early-Stage,No,n/a,No,0.62°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=S2&sel_satname=S2&plan_id=
FMS5-37E,France 🇫🇷,37.0°E,Non-Planned,Early-Stage,No,n/a,No,0.62°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS5-37E&sel_satname=FMS5-37E&plan_id=
SICRAL-4-37E,Italy 🇮🇹,37.0°E,Non-Planned,Early-Stage,No,n/a,No,0.62°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=SICRAL-4-37E&sel_satname=SICRAL-4-37E&plan_id=
D  00002,Germany 🇩🇪,37.2°E,Planned,Early-Stage,No,n/a,No,0.82°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=D++00002&sel_satname=D++00002&plan_id=plan
CANGYU-2,China 🇨🇳,37.2°E,Non-Planned,Early-Stage,No,n/a,No,0.82°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANGYU-2&sel_satname=CANGYU-2&plan_id=
TIBASAT-35.5E,Egypt 🇪🇬,35.5°E,Non-Planned,Early-Stage,No,n/a,No,0.88°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TIBASAT-35.5E&sel_satname=TIBASAT-35.5E&plan_id=
EGYCOMM0A,Egypt 🇪🇬,35.5°E,Non-Planned,Early-Stage,No,n/a,No,0.88°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EGYCOMM0A&sel_satname=EGYCOMM0A&plan_id=
