,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
32,STW-1,1,CHN,125.0,14.11.2000,22280,1,1,1,1,4
957,STW-2,1,CHN,103.0,21.05.1998,22961,1,1,1,1,4
717,CHINASAT-1,1,CHN,87.5,21.05.1998,23693,1,1,1,1,4
1535,CHINASAT-2,1,CHN,110.5,21.05.1998,24067,1,1,1,1,4
1594,CHINASAT-3,1,CHN,98.0,21.05.1998,24456,1,1,1,1,4
48,ASIASAT-1,2,CHN,105.5,04.06.1998,24515,1,1,1,1,4
266,ASIASAT-EK1,1,CHN,100.5,04.06.1998,26576,1,1,1,1,4
292,ASIASAT-EKS,1,CHN,100.5,19.03.2004,26576,1,1,1,1,4
940,ASIASAT-E,2,CHN,100.5,02.11.2009,26576,1,1,1,1,4
1197,ASIASAT-EKX,1,CHN,100.5,19.03.2004,26576,1,1,1,1,4
1275,DFH-3-OB,1,CHN,103.0,21.05.1998,26628,1,1,1,1,4
1024,CHINASAT-51.5E,1,CHN,51.5,20.10.2010,26792,1,1,1,1,4
783,CHINASAT-31,1,CHN,80.0,13.05.1998,26812,1,1,1,1,4
1403,FY-2BS,1,CHN,86.5,13.09.2004,27051,1,1,1,1,4
328,DFH-3-OA,1,CHN,125.0,21.04.1998,27107,1,1,1,1,4
1362,FY-2A,1,CHN,105.0,13.05.1998,27136,1,1,1,1,4
920,CHINASAT-C20,1,CHN,126.0,31.05.2019,27249,1,1,1,1,4
1066,CHINASAT-CL11,2,CHN,163.0,01.06.2017,27249,1,1,1,1,4
1138,DFH-3-OC,1,CHN,87.5,21.04.1998,27249,1,1,1,1,4
1517,APSTAR-4,1,CHN,76.5,21.04.1998,27265,1,1,1,1,4
1610,APSTAR-76E,1,CHN,76.5,26.06.2008,27265,1,1,1,1,4
1520,APSTAR-142E-R,2,CHN,142.0,12.05.2014,27490,1,1,1,1,4
728,CHINASAT-6,1,CHN,110.5,21.04.1998,27492,1,1,1,1,4
1571,DFH-3A-OB,1,CHN,110.5,29.04.2003,27539,1,1,1,1,4
351,CHINASAT-ROUTE8,1,CHN,125.0,18.07.2022,27558,1,1,1,1,4
1519,APSTAR-142E-R,1,CHN,142.0,12.05.2014,27577,1,1,1,1,4
582,DFH-4-OD,1,CHN,115.5,21.04.1998,27750,1,1,1,1,4
47,ASIASAT-1,1,CHN,105.5,04.06.1998,27780,1,1,1,1,4
247,ASIASAT-CKX,1,CHN,105.5,04.02.1999,27780,1,1,1,1,4
883,ASIASAT-CK,1,CHN,105.5,26.08.2015,27780,1,1,1,1,4
1223,ASIASAT-CK1,1,CHN,105.5,04.02.1999,27780,1,1,1,1,4
1238,ASIASAT-CKZ,1,CHN,105.5,22.05.2012,27780,1,1,1,1,4
1246,ASIASAT-CKS,1,CHN,105.5,19.03.2004,27780,1,1,1,1,4
39,CHINASAT-22,1,CHN,98.0,13.05.1998,27886,1,1,1,1,4
1660,CHINASAT-32,1,CHN,140.0,13.05.1998,28030,1,1,1,1,4
399,FY-2B,1,CHN,86.5,13.05.1998,28055,1,1,1,1,4
1587,CHINASAT-33,1,CHN,110.5,13.05.1998,28212,1,1,1,1,4
1599,CHINASAT-4,1,CHN,130.0,21.05.1998,28226,1,1,1,1,4
205,FY-2CS,1,CHN,123.5,13.09.2004,28237,1,1,1,1,4
568,FY-2C,1,CHN,123.5,12.12.2002,28237,1,1,1,1,4
1643,APSTAR-2,1,CHN,134.0,29.04.2003,28926,1,1,1,1,4
569,FY-2C,2,CHN,123.5,12.12.2002,29146,1,1,1,1,4
305,ASIASAT-AKS,1,CHN,122.0,19.03.2004,29267,1,1,1,1,4
327,ASIASAT-AKZ,1,CHN,122.2,05.12.2011,29267,1,1,1,1,4
481,DFH-4-OB,1,CHN,103.0,02.12.2002,29424,1,1,1,1,4
1001,APSTAR-5-KU,1,CHN,138.0,31.10.2003,29470,1,1,1,1,4
1378,CHINASAT-138E,1,CHN,138.0,26.06.2008,29470,1,1,1,1,4
1083,CHINASAT-45,1,CHN,101.5,31.10.2003,29806,1,1,1,1,4
1299,FY-2AS,1,CHN,105.0,13.09.2004,29825,1,1,1,1,4
362,CHINASAT-34A,1,CHN,79.6,31.10.2003,29964,1,1,1,1,4
1179,CHINASAT-34B,1,CHN,84.0,31.10.2003,29986,1,1,1,1,4
558,CHINASAT-134E,1,CHN,134.0,08.07.2005,30003,1,1,1,1,4
832,CHINASAT-D-163E,2,CHN,163.0,25.02.2021,30003,1,1,1,1,4
1647,DFH-3A-OD,1,CHN,130.0,11.11.2003,30028,1,1,1,1,4
1662,DFH-3A-OC,1,CHN,98.0,10.10.2003,30033,1,1,1,1,4
397,CHINASAT-35B,1,CHN,140.4,31.10.2003,30055,1,1,1,1,4
552,CHINASAT-35C,1,CHN,144.5,31.10.2003,30139,1,1,1,1,4
1328,DFH-4-OA,1,CHN,125.0,29.04.2003,30241,1,1,1,1,4
841,COMPASS-58.75E,1,CHN,58.75,16.01.2017,30322,1,1,1,1,4
78,COMPASS-80E,2,CHN,80.0,29.08.2019,30383,1,1,1,1,4
28,COMPASS-110.5E,1,CHN,110.5,16.01.2017,30441,1,1,1,1,4
1233,SINOSAT-92.2E,1,CHN,92.2,13.08.2010,30489,1,1,1,1,4
1320,COMPASS-140E,1,CHN,140.0,16.01.2017,30504,1,1,1,1,4
1234,SINOSAT-92.2E,2,CHN,92.2,13.08.2010,30727,1,1,1,1,4
473,CHINASAT-D-115.5E,2,CHN,115.5,24.03.2021,30778,1,1,1,1,4
1552,CHINASAT-163E,1,CHN,163.0,20.10.2010,30823,1,1,1,1,4
