,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
1063,SINOSAT-3C,1,CHN,130.0,12.12.2005,13,0,1,1,1,3
703,CHINASAT-64,1,CHN,98.0,16.07.2008,138,0,1,1,1,3
839,CHINASAT-65,1,CHN,103.0,16.07.2008,138,0,1,1,1,3
621,CTDRS-1-77E,1,CHN,77.0,03.12.2009,268,0,1,1,1,3
1530,CTDRS-1-80E,1,CHN,80.0,03.12.2009,268,0,1,1,1,3
1043,PALAPA-C1-B,2,INS,113.0,13.07.2021,306,0,1,1,1,3
1088,PALAPA-C1-K,2,INS,113.0,13.07.2021,306,0,1,1,1,3
1537,PALAPA-C1,2,INS,113.0,13.07.2021,306,0,1,1,1,3
30,CHINASAT-49,1,CHN,125.0,22.11.2005,410,0,1,1,1,3
1430,CHINASAT-115.5E,1,CHN,115.5,27.08.2008,410,0,1,1,1,3
268,CHINASAT-ROUTE7,1,CHN,115.5,19.02.2014,441,0,1,1,1,3
689,DFH-5-OD,1,CHN,115.5,13.06.2010,441,0,1,1,1,3
1502,CHINASAT-DL5,2,CHN,115.5,06.11.2017,441,0,1,1,1,3
1531,CHINASAT-MSB4,1,CHN,115.5,13.06.2010,441,0,1,1,1,3
1498,CHINASAT-92.2E,1,CHN,92.2,22.11.2005,455,0,1,1,1,3
1321,COMPASS-140E,2,CHN,140.0,16.01.2017,465,0,1,1,1,3
1552,CHINASAT-163E,1,CHN,163.0,20.10.2010,471,0,1,1,1,3
1612,CHINASAT-MSB5,2,CHN,125.0,13.06.2010,471,0,1,1,1,3
466,COMPASS-160E,1,CHN,160.0,16.01.2017,473,0,1,1,1,3
522,COMPASS-80.3E,1,CHN,80.3,11.02.2019,488,0,1,1,1,3
473,CHINASAT-D-115.5E,2,CHN,115.5,24.03.2021,516,0,1,1,1,3
1052,F-SAT-N-E-8W,3,F,-8.0,27.05.2016,517,0,1,1,1,3
1234,SINOSAT-92.2E,2,CHN,92.2,13.08.2010,568,0,1,1,1,3
29,COMPASS-110.5E,2,CHN,110.5,16.01.2017,580,0,1,1,1,3
1611,CHINASAT-MSB5,1,CHN,125.0,13.06.2010,673,0,1,1,1,3
355,CHINASAT-ROUTE8,5,CHN,125.0,18.07.2022,704,0,1,1,1,3
712,CHINASAT-DL6,5,CHN,125.0,18.07.2022,704,0,1,1,1,3
1624,CHINASAT-D-125E,2,CHN,125.0,25.02.2021,704,0,1,1,1,3
467,COMPASS-160E,2,CHN,160.0,16.01.2017,732,0,1,1,1,3
136,CHINASAT-E-113E,1,CHN,113.0,08.09.2022,759,0,1,1,1,3
921,CHINASAT-C20,2,CHN,126.0,31.05.2019,759,0,1,1,1,3
1121,CHINASAT-E-85.5E,1,CHN,85.5,24.11.2022,759,0,1,1,1,3
1570,CHNSAT-130E,1,CHN,130.0,28.10.2010,759,0,1,1,1,3
1320,COMPASS-140E,1,CHN,140.0,16.01.2017,790,0,1,1,1,3
1233,SINOSAT-92.2E,1,CHN,92.2,13.08.2010,805,0,1,1,1,3
28,COMPASS-110.5E,1,CHN,110.5,16.01.2017,854,0,1,1,1,3
