,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
905,USGOVSAT-18A,1,USA,78.5,09.11.2022,88,1,1,1,1,4
802,USGOVSAT-19A,1,USA,86.0,09.08.2022,217,1,1,1,1,4
250,USGAE-18A,1,USA,-155.0,16.03.2022,437,1,1,1,1,4
26,USGAE-25A,1,USA,-124.2,07.09.2021,555,1,1,1,1,4
1668,USNN-1,1,USA,-65.0,07.07.2021,576,1,1,1,1,4
1443,USGAE-5A,1,USA,55.0,01.09.2021,848,1,1,1,1,4
1529,USEWSG-1,1,USA,61.5,10.06.2020,1009,1,1,1,1,4
727,USGAE-28A,1,USA,137.7,05.06.2020,1016,1,1,1,1,4
570,USOBO-11B,1,USA,139.0,23.10.2019,1215,1,1,1,1,4
1049,USOBO-6B,1,USA,66.0,25.09.2019,1271,1,1,1,1,4
137,USGAE-26A,1,USA,-94.2,31.07.2019,1381,1,1,1,1,4
833,GOES-WEST-4,1,USA,-137.0,06.06.2019,1420,1,1,1,1,4
275,USGOVSAT-5A,1,USA,-112.0,13.02.2019,1480,1,1,1,1,4
1278,USASAT-60V,1,USA,169.0,21.11.2022,1513,1,1,1,1,4
784,USOBO-1A,1,USA,-159.4,05.04.2018,1774,1,1,1,1,4
207,GOES-EAST-4,1,USA,-75.0,09.07.2018,1830,1,1,1,1,4
1127,IRIS-1A,1,USA,-105.0,05.03.2018,1842,1,1,1,1,4
1206,USGOVSAT-9A,1,USA,57.0,21.08.2018,1846,1,1,1,1,4
13,USOBO-5A,1,USA,20.6,13.12.2017,1904,1,1,1,1,4
787,USNN-5,1,USA,170.0,23.10.2017,1935,1,1,1,1,4
1545,USGOVSAT-16R,1,USA,24.0,04.05.2017,2052,1,1,1,1,4
632,USGOVSAT-13R,1,USA,-121.9,10.04.2017,2084,1,1,1,1,4
614,USASAT-60S,2,USA,-43.0,06.11.2019,2103,1,1,1,1,4
1080,USASAT-55E-1,1,USA,-43.0,08.11.2019,2103,1,1,1,1,4
321,USGOVSAT-5R,1,USA,-112.0,10.04.2017,2143,1,1,1,1,4
414,USGOVSAT-1R,1,USA,180.0,23.01.2017,2183,1,1,1,1,4
1298,USASAT-80B,1,USA,60.0,23.08.2022,2283,1,1,1,1,4
873,P92-8,1,USA,92.0,23.09.2014,2288,1,1,1,1,4
1303,IRIS-6A,1,USA,75.0,12.10.2016,2329,1,1,1,1,4
461,USASAT-60U,1,USA,-95.0,29.05.2020,2346,1,1,1,1,4
369,USGOVSAT-20R,1,USA,134.0,14.09.2016,2361,1,1,1,1,4
882,USGOVSAT-11R,1,USA,150.0,28.04.2016,2500,1,1,1,1,4
600,USASAT-66D,1,USA,-15.0,30.04.2021,2553,1,1,1,1,4
83,P-197-7,1,USA,92.0,10.09.2015,2584,1,1,1,1,4
45,USGAE-23M,1,USA,19.0,29.02.2016,2587,1,1,1,1,4
203,IRIS-4A,1,USA,-15.5,08.10.2015,2628,1,1,1,1,4
530,USGAE-6M,1,USA,-120.0,29.02.2016,2628,1,1,1,1,4
888,USASAT-55U,1,USA,-55.5,26.08.2019,2650,1,1,1,1,4
1181,USGAE-12M,1,USA,111.0,29.02.2016,2757,1,1,1,1,4
999,P92-7,1,USA,-30.4,26.10.2015,2766,1,1,1,1,4
150,USASAT-55W,1,USA,-79.0,05.12.2019,2767,1,1,1,1,4
1276,USABSN-25,1,USA,-79.0,03.12.2021,2767,1,1,1,1,4
1101,USABSN-12A,1,USA,-103.0,28.07.2015,2918,1,1,1,1,4
