,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
1461,USGOVSAT-12,1,USA,175.0,13.05.2010,2,1,1,1,1,4
1412,USASAT-60P,1,USA,-31.5,28.03.2017,32,1,1,1,1,4
560,USASAT-60H,1,USA,-123.0,09.09.2011,163,1,1,1,1,4
910,USASAT-50D,1,USA,-43.0,15.12.2010,192,1,1,1,1,4
1062,USASAT-55F,2,USA,-43.0,15.10.2009,192,1,1,1,1,4
613,USASAT-60S,1,USA,-43.0,06.11.2019,196,1,1,1,1,4
1011,USASAT-70O,1,USA,-95.0,08.05.2012,242,1,1,1,1,4
1436,USASAT-60E,1,USA,-91.0,19.08.2011,346,1,1,1,1,4
1438,USASAT-26A,1,USA,-37.5,22.06.2009,347,1,1,1,1,4
444,USGAE-16R,1,USA,30.0,04.11.2009,374,1,1,1,1,4
591,USGAE-9R,1,USA,152.0,16.09.2009,374,1,1,1,1,4
1213,USGAE-17R,1,USA,-39.0,28.10.2009,374,1,1,1,1,4
1407,USGAE-10R,1,USA,-150.0,28.10.2009,374,1,1,1,1,4
1111,USASAT-28O,1,USA,-86.15,10.09.2018,397,1,1,1,1,4
445,USGOVSAT-10,1,USA,60.0,28.05.2010,428,1,1,1,1,4
1202,USASAT-28G,1,USA,-115.0,05.03.2009,532,1,1,1,1,4
605,USASAT-60T,1,USA,-45.0,06.11.2019,577,1,1,1,1,4
958,USASAT-55N,1,USA,85.0,29.09.2016,594,1,1,1,1,4
421,USASAT-60G,1,USA,-99.0,09.09.2011,666,1,1,1,1,4
178,USASAT-55Y,1,USA,-76.0,17.06.2020,669,1,1,1,1,4
317,GOES-EAST-2,1,USA,-75.0,16.08.2011,752,1,1,1,1,4
1468,USGOVSAT-8,1,USA,-12.0,19.01.2011,778,1,1,1,1,4
513,USASAT-60A,1,USA,172.0,03.12.2010,833,1,1,1,1,4
501,MSV-1A,1,USA,-101.0,01.06.2010,884,1,1,1,1,4
276,USASAT-28K,1,USA,-85.2,23.11.2010,907,1,1,1,1,4
63,USASAT-55Q,1,USA,66.0,21.12.2017,943,1,1,1,1,4
566,LM-RPS-107.3W,1,USA,-107.3,16.05.2007,948,1,1,1,1,4
893,USASAT-50C,1,USA,-125.0,19.08.2011,973,1,1,1,1,4
398,USTRO-9,1,USA,85.0,02.11.2004,1072,1,1,1,1,4
432,USTRO-7,1,USA,90.0,02.11.2004,1072,1,1,1,1,4
535,USTRO-6,1,USA,70.0,02.11.2004,1072,1,1,1,1,4
554,USTRO-8,1,USA,103.0,02.11.2004,1072,1,1,1,1,4
1381,USTRO-3,1,USA,-141.0,02.11.2004,1072,1,1,1,1,4
1384,USTRO-4,1,USA,-13.0,02.11.2004,1072,1,1,1,1,4
1441,USTRO-5,1,USA,-10.0,02.11.2004,1072,1,1,1,1,4
1459,USTRO-2,1,USA,-144.0,02.11.2004,1072,1,1,1,1,4
1512,USASAT-31M,1,USA,-101.0,09.11.2004,1087,1,1,1,1,4
35,USASAT-70V,1,USA,-99.2,17.11.2011,1109,1,1,1,1,4
690,USASAT-31N,1,USA,-99.0,09.11.2004,1109,1,1,1,1,4
