,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
1373,ALCOMSAT-24.8W,1,ALG,-24.8,31.10.2017,25,1,1,1,1,4
669,G4SAT-134E,1,CHN,134.0,15.05.2018,157,0,1,1,1,3
131,CHNBSAT-K-101.4E,1,CHN,101.4,11.11.2021,208,0,1,1,1,3
77,COMPASS-80E,1,CHN,80.0,29.08.2019,390,0,1,1,1,3
837,DFH-5-01B,1,CHN,107.5,13.01.2017,404,0,1,1,1,3
1636,DFH-5-01A,1,CHN,94.2,13.01.2017,404,0,1,1,1,3
729,DFH-5-02B,1,CHN,173.0,11.07.2019,407,0,1,1,1,3
1522,DFH-5-02A,1,CHN,59.0,17.04.2019,407,0,1,1,1,3
499,CTDRS-2-77E,1,CHN,77.0,28.03.2017,416,0,1,1,1,3
1625,CTDRS-2-80E,1,CHN,80.0,28.03.2017,416,0,1,1,1,3
636,GC-4-105.6E,1,CHN,105.6,03.11.2016,463,0,1,1,1,3
1286,CHNSAT-M-101.4E,1,CHN,101.4,25.01.2016,542,0,1,1,1,3
1389,COMPASS-B-144.5E,1,CHN,144.5,23.06.2016,572,0,1,1,1,3
695,CHINASAT-D-110.5E,2,CHN,110.5,25.02.2021,603,0,1,1,1,3
1645,CHINASAT-DL4,2,CHN,110.5,06.11.2017,603,0,1,1,1,3
474,CHINASAT-D-115.5E,3,CHN,115.5,24.03.2021,615,0,1,1,1,3
1215,CHINASAT-CL2,1,CHN,51.5,28.07.2017,665,0,1,1,1,3
120,DFH-5-03A,1,CHN,66.5,07.07.2020,706,0,1,1,1,3
1086,DFH-5-03B,1,CHN,178.5,07.07.2020,706,0,1,1,1,3
1120,CHNSAT-81.5E,1,CHN,81.5,25.01.2016,736,0,1,1,1,3
1178,CHNSAT-103E,1,CHN,103.0,25.01.2016,755,0,1,1,1,3
1319,DFH-4-OAF,1,CHN,155.0,25.03.2015,801,0,1,1,1,3
1044,PALAPA-C1-B,3,INS,113.0,13.07.2021,851,0,1,1,1,3
302,LAOSAT-128.5E-A,1,LAO,128.5,08.05.2019,989,0,1,1,1,3
329,LAOSAT-128.5E,1,LAO,128.5,29.04.2015,989,0,1,1,1,3
132,CHNBSAT-K-101.4E,2,CHN,101.4,11.11.2021,1004,0,1,1,1,3
352,CHINASAT-ROUTE8,2,CHN,125.0,18.07.2022,1041,0,1,1,1,3
709,CHINASAT-DL6,2,CHN,125.0,18.07.2022,1041,0,1,1,1,3
763,DFH-5-04A,1,CHN,117.8,11.12.2020,1115,0,1,1,1,3
126,CHNBSAT-K1-101.4E,1,CHN,101.4,11.11.2021,1369,0,1,1,1,3
1135,TUPAK KATARI-1,1,BOL,-87.2,14.11.2014,1451,0,1,1,1,3
1666,DFH-5-04B,1,CHN,120.0,11.12.2020,1473,0,1,1,1,3
354,CHINASAT-ROUTE8,4,CHN,125.0,18.07.2022,1558,0,1,1,1,3
711,CHINASAT-DL6,4,CHN,125.0,18.07.2022,1558,0,1,1,1,3
1372,CHINASAT-E-125E,2,CHN,125.0,28.12.2022,1558,0,1,1,1,3
269,CHINASAT-ROUTE7,2,CHN,115.5,19.02.2014,1684,0,1,1,1,3
