,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
89,EXPRESS-6B,1,RUS,80.0,26.02.2006,2,1,1,1,1,4
1109,STATSIONAR-3,1,RUS,85.0,28.09.2005,8,1,1,1,1,4
1546,TOR-18M,1,RUS,12.0,10.01.2003,13,1,1,1,1,4
115,TOR-2M,1,RUS,35.0,10.01.2003,29,1,1,1,1,4
861,TOR-4M,1,RUS,85.0,10.01.2003,31,1,1,1,1,4
1270,STATSIONAR-15,1,RUS,128.0,28.09.2005,38,1,1,1,1,4
1231,STATSIONAR-24,1,RUS,49.0,28.09.2005,51,1,1,1,1,4
651,TOR-6M,1,RUS,128.0,10.01.2003,65,1,1,1,1,4
200,STATSIONAR-10,1,RUS,-170.0,28.09.2005,68,1,1,1,1,4
1316,STATSIONAR-10A,1,RUS,-170.0,28.09.2005,68,1,1,1,1,4
263,STATSIONAR-9,1,RUS,45.0,28.09.2005,83,1,1,1,1,4
1401,STATSIONAR-9A,1,RUS,45.0,28.09.2005,83,1,1,1,1,4
951,ENSAT-23E,1,RUS,23.0,13.01.2021,87,1,1,1,1,4
751,TOR-5M,1,RUS,-170.0,10.01.2003,89,1,1,1,1,4
1460,EXPRESS-10B,1,RUS,140.0,26.02.2006,94,1,1,1,1,4
220,STATSIONAR-17,1,RUS,-26.5,28.09.2005,99,1,1,1,1,4
1183,STATSIONAR-2,1,RUS,35.0,28.09.2005,114,1,1,1,1,4
383,STATSIONAR-8,1,RUS,-25.0,28.09.2005,128,1,1,1,1,4
246,STATSIONAR-19,1,RUS,23.0,28.09.2005,142,1,1,1,1,4
1218,STATSIONAR-23,1,RUS,15.0,28.09.2005,142,1,1,1,1,4
633,TOR-17M,1,RUS,70.0,10.01.2003,143,1,1,1,1,4
1474,INTERSPUTNIK-3W-Q,1,RUS,-3.0,26.07.2018,145,1,1,1,1,4
1608,EXPRESS-4B,1,RUS,40.0,01.04.2015,148,1,1,1,1,4
296,STATSIONAR-27,1,RUS,12.0,28.09.2005,204,1,1,1,1,4
1000,TOR-16M,1,RUS,49.0,10.01.2003,214,1,1,1,1,4
301,STATSIONAR-18,1,RUS,8.0,28.09.2005,234,1,1,1,1,4
880,TOR-15M,1,RUS,1.0,10.01.2003,243,1,1,1,1,4
1168,STATSIONAR-22,1,RUS,1.0,28.09.2005,266,1,1,1,1,4
691,EXPRESS-8B,1,RUS,96.5,26.02.2006,331,1,1,1,1,4
37,SADKO-1,1,RUS,85.4,09.12.2008,378,1,1,1,1,4
17,EXPRESS-5B,1,RUS,53.0,26.02.2006,453,1,1,1,1,4
224,YAMAL-49E,1,RUS,49.0,04.12.2012,564,1,1,1,1,4
385,ROSCOM-4,2,RUS,49.0,15.01.1999,564,1,1,1,1,4
1232,STATSIONAR-24,2,RUS,49.0,28.09.2005,564,1,1,1,1,4
1500,EXPRESS-7B,1,RUS,90.0,09.02.2004,564,1,1,1,1,4
1509,YAMAL-E5-1,1,RUS,163.5,31.03.2022,564,1,1,1,1,4
285,POTOK-3,1,RUS,-168.0,09.10.2000,850,1,1,1,1,4
607,FOTON-3,1,RUS,-168.0,09.10.2000,850,1,1,1,1,4
1676,STATSIONAR-M2,1,RUS,-3.0,15.01.1999,957,1,1,1,1,4
227,GALS-16,1,RUS,70.0,23.11.2010,985,1,1,1,1,4
304,STATSIONAR-20,1,RUS,70.0,23.11.2010,985,1,1,1,1,4
293,RUSATCOM-145E,1,RUS,145.0,14.06.2017,1032,1,1,1,1,4
678,EXPRESS-2B,1,RUS,-14.0,26.02.2006,1032,1,1,1,1,4
862,VOLNA-6R,1,RUS,145.0,29.03.2016,1032,1,1,1,1,4
1016,VOLNA-5R,1,RUS,96.5,21.01.2013,1035,1,1,1,1,4
384,ROSCOM-4,1,RUS,49.0,15.01.1999,1185,1,1,1,1,4
737,WSDRN,1,RUS,-16.0,09.10.2000,1215,1,1,1,1,4
33,VOLNA-3R,1,RUS,-11.0,21.01.2013,1415,1,1,1,1,4
447,EXPRESS-B 11W,1,RUS,-11.0,29.01.2016,1415,1,1,1,1,4
510,INTERSPUTNIK-17E-CK,1,RUS,17.0,26.06.2009,1418,1,1,1,1,4
917,KUPON-1S,1,RUS,55.0,25.12.2002,1548,1,1,1,1,4
933,KUPON-1T,1,RUS,55.0,21.12.2004,1548,1,1,1,1,4
1222,KUPON-1,1,RUS,55.0,15.01.1999,1548,1,1,1,1,4
341,POTOK-2,1,RUS,80.0,09.10.2000,1728,1,1,1,1,4
477,FOTON-2,1,RUS,80.0,09.10.2000,1728,1,1,1,1,4
1655,VOLNA-8R,1,RUS,80.0,23.10.2007,1842,1,1,1,1,4
1046,EXPRESS-9B,1,RUS,103.0,26.02.2006,1853,1,1,1,1,4
1041,KUPON-4M,1,RUS,86.5,07.09.2011,2008,1,1,1,1,4
109,INTERBELAR-2,1,RUS,75.0,15.05.2017,2010,1,1,1,1,4
922,INTERSPUTNIK-75E-Q,1,RUS,75.0,15.05.2017,2010,1,1,1,1,4
193,INTERSPUTNIK-75E-CK,1,RUS,75.0,15.05.2017,2071,1,1,1,1,4
1633,VOLNA-11,1,RUS,35.0,27.07.1999,2072,1,1,1,1,4
391,EXPRESS-7,1,RUS,90.0,09.12.2004,2077,1,1,1,1,4
1523,YAMAL-E3,1,RUS,81.75,15.01.1999,2265,1,1,1,1,4
869,CSDRN-M,1,RUS,95.0,28.08.2014,2359,1,1,1,1,4
206,EXPRESS-6KA,1,RUS,80.0,12.03.2015,2366,1,1,1,1,4
190,KUPON-1M,1,RUS,55.0,16.03.2010,2422,1,1,1,1,4
676,INTERSPUTNIK-16W-4,2,RUS,-16.0,11.03.2016,2432,1,1,1,1,4
772,INTERSPUTNIK-16W-2,2,RUS,-16.0,11.03.2016,2432,1,1,1,1,4
798,INTERSPUTNIK-3W-CK,2,RUS,-3.0,26.07.2018,2432,1,1,1,1,4
823,YAMAL-183E,1,RUS,-177.0,26.06.2019,2627,1,1,1,1,4
1646,EXPRESS-7C,1,RUS,90.0,24.02.2012,2627,1,1,1,1,4
332,WSDRN-M,1,RUS,-16.0,17.12.2012,2726,1,1,1,1,4
675,INTERSPUTNIK-16W-4,1,RUS,-16.0,11.03.2016,2726,1,1,1,1,4
771,INTERSPUTNIK-16W-2,1,RUS,-16.0,11.03.2016,2726,1,1,1,1,4
1199,VSSRD-2M,1,RUS,167.0,10.04.2015,2816,1,1,1,1,4
1200,VSSRD-2M,2,RUS,167.0,10.04.2015,2816,1,1,1,1,4
847,YAMAL-55E,1,RUS,55.0,28.11.2014,2909,1,1,1,1,4
1173,EXPRESS-10KA,1,RUS,140.0,05.05.2014,3194,1,1,1,1,4
111,INTERBELAR-2,3,RUS,75.0,15.05.2017,3236,1,1,1,1,4
195,INTERSPUTNIK-75E-CK,3,RUS,75.0,15.05.2017,3236,1,1,1,1,4
924,INTERSPUTNIK-75E-Q,3,RUS,75.0,15.05.2017,3236,1,1,1,1,4
870,CSDRN-M,2,RUS,95.0,28.08.2014,3320,1,1,1,1,4
650,VOLNA-4R,1,RUS,40.0,23.10.2007,3336,1,1,1,1,4
1090,CSSRD-2,1,RUS,77.0,09.10.2000,3457,1,1,1,1,4
692,EXPRESS-5KA,1,RUS,53.0,30.03.2015,3493,1,1,1,1,4
627,ESDRN,1,RUS,-160.0,06.11.2000,3499,1,1,1,1,4
208,GALS-11,1,RUS,-3.0,27.07.1999,3537,1,1,1,1,4
1150,GALS-12,1,RUS,15.0,27.07.1999,3540,1,1,1,1,4
797,INTERSPUTNIK-3W-CK,1,RUS,-3.0,26.07.2018,3578,1,1,1,1,4
1475,INTERSPUTNIK-3W-Q,2,RUS,-3.0,26.07.2018,3578,1,1,1,1,4
1480,INTERSPUTNIK-3W,2,RUS,-3.0,26.07.2018,3578,1,1,1,1,4
1521,VOLNA-21,1,RUS,1.0,27.07.1999,3630,1,1,1,1,4
1543,VOLNA-19,1,RUS,70.0,27.07.1999,3633,1,1,1,1,4
1609,EXPRESS-4B,2,RUS,40.0,01.04.2015,3642,1,1,1,1,4
816,VOLNA-23,1,RUS,15.0,27.07.1999,3645,1,1,1,1,4
848,CSDRN,1,RUS,95.0,06.11.2000,3756,1,1,1,1,4
1365,VOLNA-2,2,RUS,-14.0,20.02.2016,3822,1,1,1,1,4
1189,POTOK-1,1,RUS,-13.5,09.10.2000,3842,1,1,1,1,4
1289,FOTON-1,1,RUS,-13.5,09.10.2000,3842,1,1,1,1,4
707,VOLNA-13,1,RUS,-26.5,27.07.1999,3860,1,1,1,1,4
1510,VOLNA-17,1,RUS,23.0,27.07.1999,3861,1,1,1,1,4
846,VOLNA-15,1,RUS,8.0,27.07.1999,3862,1,1,1,1,4
1055,GALS-7,1,RUS,8.0,27.07.1999,3862,1,1,1,1,4
978,GALS-8,1,RUS,23.0,27.07.1999,3864,1,1,1,1,4
110,INTERBELAR-2,2,RUS,75.0,15.05.2017,3883,1,1,1,1,4
194,INTERSPUTNIK-75E-CK,2,RUS,75.0,15.05.2017,3883,1,1,1,1,4
923,INTERSPUTNIK-75E-Q,2,RUS,75.0,15.05.2017,3883,1,1,1,1,4
1511,STATSIONAR-D5,1,RUS,85.4,07.11.2000,3955,1,1,1,1,4
1637,STATSIONAR-D3,1,RUS,35.0,07.11.2000,3985,1,1,1,1,4
177,TOR-6,1,RUS,128.0,28.08.2000,4028,1,1,1,1,4
335,GALS-10,1,RUS,128.0,28.08.2000,4028,1,1,1,1,4
687,STATSIONAR-D6,1,RUS,128.0,07.11.2000,4028,1,1,1,1,4
1048,GALS-9,1,RUS,-25.0,28.08.2000,4062,1,1,1,1,4
1677,VOLNA-1A,1,RUS,-25.0,28.08.2000,4062,1,1,1,1,4
1143,GALS-15,1,RUS,1.0,27.07.1999,4089,1,1,1,1,4
1274,GALS-14,1,RUS,69.0,27.07.1999,4092,1,1,1,1,4
1479,INTERSPUTNIK-3W,1,RUS,-3.0,26.07.2018,4149,1,1,1,1,4
514,VOLNA-9,1,RUS,128.0,22.07.1999,4315,1,1,1,1,4
417,INTERSPUTNIK-17E,1,RUS,17.0,26.05.2003,4505,1,1,1,1,4
1661,BV-SAT-45E,1,RUS,45.0,14.05.2021,4524,1,1,1,1,4
322,GALS-17,1,RUS,12.0,27.07.1999,4644,1,1,1,1,4
952,ENSAT-23E,2,RUS,23.0,13.01.2021,4660,1,1,1,1,4
1260,GALS-13,1,RUS,49.0,27.07.1999,4690,1,1,1,1,4
1591,VOLNA-27,1,RUS,12.0,27.07.1999,4757,1,1,1,1,4
719,VOLNA-25,1,RUS,49.0,27.07.1999,4760,1,1,1,1,4
