Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
OHO-30B-86E-2,Sweden 🇸🇪,86.0°E,Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OHO-30B-86E-2&sel_satname=OHO-30B-86E-2&plan_id=plan
USGOVSAT-19B,United States 🇺🇸,86.0°E,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-19B&sel_satname=USGOVSAT-19B&plan_id=
USGOVSAT-19A,United States 🇺🇸,86.0°E,Non-Planned,Early-Stage,No,Partial,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGOVSAT-19A&sel_satname=USGOVSAT-19A&plan_id=
FY-2B,China 🇨🇳,86.5°E,Non-Planned,Late-Stage,Yes,No,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FY-2B&sel_satname=FY-2B&plan_id=
GT-SAT-86.5E,Russian Federation 🇷🇺,86.5°E,Non-Planned,Early-Stage,No,n/a,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GT-SAT-86.5E&sel_satname=GT-SAT-86.5E&plan_id=
FYGEOSAT-86.5E,China 🇨🇳,86.5°E,Non-Planned,Early-Stage,No,n/a,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FYGEOSAT-86.5E&sel_satname=FYGEOSAT-86.5E&plan_id=
KAZSAT2A,Kazakhstan 🇰🇿,86.5°E,Non-Planned,Early-Stage,No,n/a,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KAZSAT2A&sel_satname=KAZSAT2A&plan_id=
FYGEOSAT-A-86.5E,China 🇨🇳,86.5°E,Non-Planned,Early-Stage,No,n/a,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FYGEOSAT-A-86.5E&sel_satname=FYGEOSAT-A-86.5E&plan_id=
KUPON-4M,Russian Federation 🇷🇺,86.5°E,Non-Planned,Late-Stage,Yes,No,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=KUPON-4M&sel_satname=KUPON-4M&plan_id=
KAZSAT2,Kazakhstan 🇰🇿,86.5°E,Non-Planned,Late-Stage,Yes,No,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=KAZSAT2&sel_satname=KAZSAT2&plan_id=
