Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
TOR-12M,Russian Federation 🇷🇺,14.0°E,Non-Planned,Late-Stage,Yes,No,No,0.00°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-12M&sel_satname=TOR-12M&plan_id=
AMSNL-13.8-KA-2,Netherlands 🇳🇱,13.8°E,Non-Planned,Early-Stage,No,n/a,No,0.20°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AMSNL-13.8-KA-2&sel_satname=AMSNL-13.8-KA-2&plan_id=
AMS-B2-13.8E,Israel 🇮🇱,13.8°E,Non-Planned,Late-Stage,Yes,No,Partial,0.20°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMS-B2-13.8E&sel_satname=AMS-B2-13.8E&plan_id=
AMS-B7-13.8E,Israel 🇮🇱,13.8°E,Non-Planned,Late-Stage,Yes,No,Partial,0.20°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=AMS-B7-13.8E&sel_satname=AMS-B7-13.8E&plan_id=
BHR00000,Bahrain 🇧🇭,13.6°E,Planned,Early-Stage,No,n/a,No,0.40°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BHR00000&sel_satname=BHR00000&plan_id=plan
CAF00000,Central African Rep. 🇨🇫,14.4°E,Planned,Early-Stage,No,n/a,No,0.40°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CAF00000&sel_satname=CAF00000&plan_id=plan
ITS-13.5E-N,China 🇨🇳,13.5°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ITS-13.5E-N&sel_satname=ITS-13.5E-N&plan_id=
F-SAT-P-30B-14.5E-F,France 🇫🇷,14.5°E,Planned,Early-Stage,No,n/a,No,0.50°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-14.5E-F&sel_satname=F-SAT-P-30B-14.5E-F&plan_id=plan
CYP-SAT-KM-14.5E,Cyprus 🇨🇾,14.5°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-14.5E&sel_satname=CYP-SAT-KM-14.5E&plan_id=
F-SAT-N7-14.5E,France 🇫🇷,14.5°E,Non-Planned,Early-Stage,No,n/a,No,0.50°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-14.5E&sel_satname=F-SAT-N7-14.5E&plan_id=
