-159,USA ,GUMMRA00,90558096 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GUMMRA00&sel_satname=GUMMRA00&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558096&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=GUMMRA00&sel_satname=GUMMRA00&plan_id=plan
-159,USA ,HWA00000,90558103 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HWA00000&sel_satname=HWA00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558103&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=HWA00000&sel_satname=HWA00000&plan_id=plan
-159,USA ,HWL00000,90558104 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HWL00000&sel_satname=HWL00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558104&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=HWL00000&sel_satname=HWL00000&plan_id=plan
-159,USA ,JAR00000,90558114 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=JAR00000&sel_satname=JAR00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558114&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=JAR00000&sel_satname=JAR00000&plan_id=plan
-159,USA ,JON00000,90558116 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=JON00000&sel_satname=JON00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558116&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=JON00000&sel_satname=JON00000&plan_id=plan
-159,USA ,MDW00000,90558136 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MDW00000&sel_satname=MDW00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558136&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=MDW00000&sel_satname=MDW00000&plan_id=plan
-159,USA ,MHL00000,90558145 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MHL00000&sel_satname=MHL00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558145&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=MHL00000&sel_satname=MHL00000&plan_id=plan
-159,USA ,PLM00000,90558163 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PLM00000&sel_satname=PLM00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558163&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=PLM00000&sel_satname=PLM00000&plan_id=plan
-159,USA ,SMA00000,90558184 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SMA00000&sel_satname=SMA00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558184&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=SMA00000&sel_satname=SMA00000&plan_id=plan
-159,USA ,WAK00000,90558219 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=WAK00000&sel_satname=WAK00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558219&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=WAK00000&sel_satname=WAK00000&plan_id=plan
-157,HOL ,NSS-FSS 157W,118559034 ,P,2893,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+157W&sel_satname=NSS-FSS+157W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2893,/online/snl/satbandold_snl.sh?ntc_id=118559034&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=NSS-FSS+157W&sel_satname=NSS-FSS+157W&plan_id=plan
