,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
254,USASAT-24N,1,USA,-129.0,17.07.2001,15,1,1,1,1,4
1675,USASAT-14L,1,USA,-12.0,09.07.1999,21,1,1,1,1,4
188,USASAT-35N,1,USA,-91.0,30.01.2001,26,1,1,1,1,4
416,USASAT-60N,1,USA,33.0,01.11.2011,26,1,1,1,1,4
166,USASAT-35I,1,USA,-101.0,17.11.2004,34,1,1,1,1,4
1314,USASAT-14J-2,1,USA,72.0,02.10.1998,56,1,1,1,1,4
1554,USASAT-14J,1,USA,72.0,02.10.1998,56,1,1,1,1,4
894,USASAT-35E,1,USA,-123.0,30.01.2001,60,1,1,1,1,4
547,USASAT-25D,1,USA,-45.0,02.10.1998,117,1,1,1,1,4
1293,USASAT-60Q,1,USA,157.0,18.12.2018,117,1,1,1,1,4
1028,USASAT-35J,1,USA,-99.0,30.01.2001,145,1,1,1,1,4
324,USASAT-22J,1,USA,-137.0,27.01.2004,150,1,1,1,1,4
325,USASAT-22J,2,USA,-137.0,27.01.2004,150,1,1,1,1,4
326,USASAT-24S,1,USA,-93.0,17.07.2001,237,1,1,1,1,4
1023,USASAT-35M,1,USA,-93.0,07.09.2004,237,1,1,1,1,4
413,USASAT-26G-3,1,USA,-58.0,06.08.2008,250,1,1,1,1,4
451,USASAT-80A,2,USA,-50.0,13.07.2020,250,1,1,1,1,4
1376,USASAT-26G,2,USA,-58.0,02.10.1998,250,1,1,1,1,4
1485,USASAT-25G,2,USA,-58.0,02.10.1998,250,1,1,1,1,4
519,KASATCOM-3,1,USA,72.0,27.11.2000,252,1,1,1,1,4
1261,USASAT-24W,1,USA,-79.0,25.09.1998,291,1,1,1,1,4
130,INTELSAT7 66E,1,USA,66.0,29.10.1998,346,1,1,1,1,4
735,INTELSAT6 62E,1,USA,62.0,29.10.1998,346,1,1,1,1,4
955,INTELSAT6 60E,1,USA,60.0,29.10.1998,346,1,1,1,1,4
