,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
428,EUTELSAT 3-10E,1,F,10.0,16.04.2002,0,1,1,1,1,4
1494,F-SAT-KU2-E-10E,1,F,10.0,01.02.2010,0,1,1,1,1,4
459,F-SAT-N3-48E,1,F,48.0,19.06.2019,105,1,1,1,1,4
520,EUTELSAT 2-36E,1,F,36.0,30.09.1998,141,1,1,1,1,4
615,EUTELSAT 3-36E,1,F,36.0,16.04.2002,141,1,1,1,1,4
180,F-SAT-N4-133W,1,F,-133.0,30.04.2021,183,1,1,1,1,4
1391,F-SAT-N-E-33E,2,F,33.0,27.05.2016,183,1,1,1,1,4
286,F-SAT-N3-12.5W,1,F,-12.5,19.05.2020,384,1,1,1,1,4
323,F-SAT-KU-E-8W,1,F,-8.0,28.04.2015,384,1,1,1,1,4
960,VIDEOSAT-6-KA,1,F,-8.0,04.06.2003,384,1,1,1,1,4
961,VIDEOSAT-6-KA,2,F,-8.0,04.06.2003,384,1,1,1,1,4
977,F-SAT-N-E-12.5W,1,F,-12.5,26.05.2016,384,1,1,1,1,4
1051,F-SAT-N-E-8W,2,F,-8.0,27.05.2016,384,1,1,1,1,4
1256,VIDEOSAT-6,1,F,-8.0,28.11.2001,384,1,1,1,1,4
218,EUTELSAT 3-25.5E,2,F,25.5,18.03.2003,513,1,1,1,1,4
1420,EUTELSAT 3-7E,1,F,7.0,16.04.2002,513,1,1,1,1,4
619,F-SAT-KU-E-5W,1,F,-5.0,22.05.2006,667,1,1,1,1,4
623,F-SAT-N3-5W,1,F,-5.0,19.05.2020,667,1,1,1,1,4
768,VIDEOSAT-8-KU-C,1,F,3.0,29.08.2002,667,1,1,1,1,4
860,TELECOM-3C,1,F,3.0,29.08.2002,667,1,1,1,1,4
1027,TELECOM-3B,1,F,-5.0,20.11.2002,667,1,1,1,1,4
1154,VIDEOSAT-7,1,F,-5.0,30.09.1998,667,1,1,1,1,4
1259,VIDEOSAT-7-KA,1,F,-5.0,20.11.2002,667,1,1,1,1,4
1595,F-SAT-N-E-5W,1,F,-5.0,27.05.2016,667,1,1,1,1,4
1598,TELECOM-4B,1,F,-5.0,20.11.2002,667,1,1,1,1,4
217,EUTELSAT 3-25.5E,1,F,25.5,18.03.2003,698,1,1,1,1,4
484,F-SAT-KU3-E-25.5E,1,F,25.5,01.02.2010,698,1,1,1,1,4
795,F-SAT-KU2-E-16E,1,F,16.0,01.02.2010,702,1,1,1,1,4
1397,EUTELSAT 3-16E,1,F,16.0,16.04.2002,702,1,1,1,1,4
135,EUTELSAT-KA-36E,1,F,36.0,23.03.2011,714,1,1,1,1,4
409,EUTELSAT-KA-7E,2,F,7.0,18.10.2004,714,1,1,1,1,4
557,EUTELSAT 3-13E,1,F,13.0,03.10.2002,714,1,1,1,1,4
745,F-SAT-N-E-70.5E,1,F,70.5,25.05.2016,714,1,1,1,1,4
1047,EUTELSAT-KA-16E,1,F,16.0,22.02.2011,714,1,1,1,1,4
1257,F-SAT-KU-E-7W,1,F,-7.0,19.11.2013,714,1,1,1,1,4
1390,F-SAT-N-E-33E,1,F,33.0,27.05.2016,714,1,1,1,1,4
1597,F-SAT-KU2-E-13E,1,F,13.0,01.02.2010,714,1,1,1,1,4
1009,F-SAT-KU2-E-12.5W,1,F,-12.5,01.02.2010,721,1,1,1,1,4
1385,EUTELSAT 3-12.5W,1,F,-12.5,20.12.1999,721,1,1,1,1,4
104,SYRACUSE-3E,1,F,-5.0,22.01.2002,737,1,1,1,1,4
1060,SYRACUSE-3H,1,F,47.0,22.01.2002,737,1,1,1,1,4
294,EUTELSAT 3-70.5E,1,F,70.5,15.01.2003,805,1,1,1,1,4
624,F-SAT-KU3-E-70.5E,1,F,70.5,01.02.2010,805,1,1,1,1,4
1288,EUTELSAT-E-70.5E,1,F,70.5,15.01.2003,805,1,1,1,1,4
1446,CD-SAT 123.1W,1,F,-123.1,17.04.2019,844,1,1,1,1,4
44,EUTELSAT-B1-16E,1,F,16.0,22.02.2011,922,1,1,1,1,4
976,EUTELSAT-B1-13E,2,F,13.0,14.04.2003,922,1,1,1,1,4
1542,SYRACUSE-31H,1,F,47.0,28.09.2006,1107,1,1,1,1,4
1649,SYRACUSE-4H,1,F,47.0,22.03.2012,1107,1,1,1,1,4
267,F-SAT-KU3-E-33E,1,F,33.0,01.02.2010,1116,1,1,1,1,4
298,EUTELSAT 3-21.5E,2,F,21.5,16.04.2002,1116,1,1,1,1,4
1442,EUTELSAT 3-33E,1,F,33.0,22.09.2003,1116,1,1,1,1,4
686,SYRACUSE-31E,1,F,-5.0,28.09.2006,1236,1,1,1,1,4
803,SYRACUSE-4E,1,F,-5.0,22.03.2012,1236,1,1,1,1,4
99,F-SAT-N4-139W,1,F,-139.0,12.05.2021,1286,1,1,1,1,4
408,EUTELSAT-KA-7E,1,F,7.0,18.10.2004,1286,1,1,1,1,4
814,EUTELSAT-B1-7E,1,F,7.0,14.05.2004,1286,1,1,1,1,4
859,F-SAT-KA-E-7E,1,F,7.0,29.07.2011,1286,1,1,1,1,4
