,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
1631,JCSAT-1,1,J,150.0,28.09.1998,1677,1,1,1,1,4
835,JCSAT-2,1,J,154.0,28.09.1998,1978,1,1,1,1,4
1004,SUPERBIRD-B,1,J,162.0,28.09.1998,2692,1,1,1,1,4
20,SUPERBIRD-A2,2,J,158.0,16.04.2004,3087,1,1,1,1,4
142,SUPERBIRD-A,3,J,158.0,28.09.1998,3087,1,1,1,1,4
1236,SUPERBIRD-A2-R,2,J,158.0,16.12.2009,3087,1,1,1,1,4
204,N-SAT-128,1,J,128.0,28.09.1998,4044,1,1,1,1,4
359,JCSAT-FO-128E,1,J,128.0,26.12.2005,4044,1,1,1,1,4
360,JCSAT-FO-128E,2,J,128.0,26.12.2005,4044,1,1,1,1,4
867,JCSAT-FO-150E,2,J,150.0,26.12.2005,4044,1,1,1,1,4
885,JCSAT-FO-136E,2,J,136.0,19.11.2004,4044,1,1,1,1,4
984,D-STAR-1,2,J,132.0,10.06.2004,4044,1,1,1,1,4
1025,JCSAT-3A,1,J,128.0,28.09.1998,4044,1,1,1,1,4
1093,JCSAT-FO-124E,2,J,124.0,26.12.2005,4044,1,1,1,1,4
1333,N-STAR-A,4,J,132.0,28.09.1998,4044,1,1,1,1,4
1352,N-STAR-B2,2,J,136.0,14.11.2003,4044,1,1,1,1,4
1458,N-STAR-A2,4,J,132.0,14.11.2003,4044,1,1,1,1,4
1617,JCSAT-FO-154E,2,J,154.0,26.12.2005,4044,1,1,1,1,4
483,N-STAR-B,1,J,136.0,07.03.2000,4204,1,1,1,1,4
1334,N-STAR-A,5,J,132.0,28.09.1998,4204,1,1,1,1,4
1354,N-STAR-B2,4,J,136.0,14.11.2003,4204,1,1,1,1,4
1456,N-STAR-A2,2,J,132.0,14.11.2003,4204,1,1,1,1,4
1604,JCSAT-FO-132E,2,J,132.0,19.11.2004,4204,1,1,1,1,4
198,JCSAT-3B,1,J,124.0,28.09.1998,4582,1,1,1,1,4
730,JCSAT-1R,1,J,150.0,28.09.1998,4582,1,1,1,1,4
781,SJC-1,1,J,124.0,28.09.1998,4582,1,1,1,1,4
884,JCSAT-FO-136E,1,J,136.0,19.11.2004,4582,1,1,1,1,4
1242,JCSAT-T-127.5E,1,J,127.5,28.04.2009,4582,1,1,1,1,4
1330,N-STAR-A,1,J,132.0,28.09.1998,4582,1,1,1,1,4
1351,N-STAR-B2,1,J,136.0,14.11.2003,4582,1,1,1,1,4
1455,N-STAR-A2,1,J,132.0,14.11.2003,4582,1,1,1,1,4
1603,JCSAT-FO-132E,1,J,132.0,19.11.2004,4582,1,1,1,1,4
1058,BSAT-110,1,J,110.0,30.06.1998,4641,1,1,1,1,4
726,N-SAT-143.72E,1,J,143.72,16.12.2009,4731,1,1,1,1,4
890,SUPERBIRD-C,1,J,144.0,28.09.1998,4731,1,1,1,1,4
891,JMCS-93E,1,J,93.0,25.12.2012,4731,1,1,1,1,4
1176,N-SAT-146,1,J,144.0,28.09.1998,4731,1,1,1,1,4
1235,SUPERBIRD-A2-R,1,J,158.0,16.12.2009,4731,1,1,1,1,4
1483,N-SAT-93E,1,J,93.0,20.11.2012,4731,1,1,1,1,4
1495,SUPERBIRD-C2,1,J,144.0,27.12.2005,4731,1,1,1,1,4
303,JMCS-1,1,J,144.0,30.06.1998,4743,1,1,1,1,4
