,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
305,ASIASAT-AKS,1,CHN,122.0,19.03.2004,43,1,1,1,1,4
327,ASIASAT-AKZ,1,CHN,122.2,05.12.2011,43,1,1,1,1,4
481,DFH-4-OB,1,CHN,103.0,02.12.2002,114,1,1,1,1,4
1001,APSTAR-5-KU,1,CHN,138.0,31.10.2003,160,1,1,1,1,4
1378,CHINASAT-138E,1,CHN,138.0,26.06.2008,160,1,1,1,1,4
569,FY-2C,2,CHN,123.5,12.12.2002,164,1,1,1,1,4
1643,APSTAR-2,1,CHN,134.0,29.04.2003,384,1,1,1,1,4
1083,CHINASAT-45,1,CHN,101.5,31.10.2003,496,1,1,1,1,4
1299,FY-2AS,1,CHN,105.0,13.09.2004,515,1,1,1,1,4
362,CHINASAT-34A,1,CHN,79.6,31.10.2003,654,1,1,1,1,4
1179,CHINASAT-34B,1,CHN,84.0,31.10.2003,676,1,1,1,1,4
558,CHINASAT-134E,1,CHN,134.0,08.07.2005,693,1,1,1,1,4
832,CHINASAT-D-163E,2,CHN,163.0,25.02.2021,693,1,1,1,1,4
1647,DFH-3A-OD,1,CHN,130.0,11.11.2003,718,1,1,1,1,4
1662,DFH-3A-OC,1,CHN,98.0,10.10.2003,723,1,1,1,1,4
397,CHINASAT-35B,1,CHN,140.4,31.10.2003,745,1,1,1,1,4
552,CHINASAT-35C,1,CHN,144.5,31.10.2003,829,1,1,1,1,4
1328,DFH-4-OA,1,CHN,125.0,29.04.2003,931,1,1,1,1,4
841,COMPASS-58.75E,1,CHN,58.75,16.01.2017,1012,1,1,1,1,4
205,FY-2CS,1,CHN,123.5,13.09.2004,1072,1,1,1,1,4
568,FY-2C,1,CHN,123.5,12.12.2002,1072,1,1,1,1,4
78,COMPASS-80E,2,CHN,80.0,29.08.2019,1073,1,1,1,1,4
1599,CHINASAT-4,1,CHN,130.0,21.05.1998,1084,1,1,1,1,4
1587,CHINASAT-33,1,CHN,110.5,13.05.1998,1098,1,1,1,1,4
28,COMPASS-110.5E,1,CHN,110.5,16.01.2017,1131,1,1,1,1,4
1233,SINOSAT-92.2E,1,CHN,92.2,13.08.2010,1179,1,1,1,1,4
1320,COMPASS-140E,1,CHN,140.0,16.01.2017,1194,1,1,1,1,4
399,FY-2B,1,CHN,86.5,13.05.1998,1254,1,1,1,1,4
1660,CHINASAT-32,1,CHN,140.0,13.05.1998,1280,1,1,1,1,4
1234,SINOSAT-92.2E,2,CHN,92.2,13.08.2010,1417,1,1,1,1,4
39,CHINASAT-22,1,CHN,98.0,13.05.1998,1424,1,1,1,1,4
473,CHINASAT-D-115.5E,2,CHN,115.5,24.03.2021,1468,1,1,1,1,4
1552,CHINASAT-163E,1,CHN,163.0,20.10.2010,1513,1,1,1,1,4
1612,CHINASAT-MSB5,2,CHN,125.0,13.06.2010,1513,1,1,1,1,4
47,ASIASAT-1,1,CHN,105.5,04.06.1998,1529,1,1,1,1,4
247,ASIASAT-CKX,1,CHN,105.5,04.02.1999,1529,1,1,1,1,4
883,ASIASAT-CK,1,CHN,105.5,26.08.2015,1529,1,1,1,1,4
1223,ASIASAT-CK1,1,CHN,105.5,04.02.1999,1529,1,1,1,1,4
1238,ASIASAT-CKZ,1,CHN,105.5,22.05.2012,1529,1,1,1,1,4
1246,ASIASAT-CKS,1,CHN,105.5,19.03.2004,1529,1,1,1,1,4
1498,CHINASAT-92.2E,1,CHN,92.2,22.11.2005,1529,1,1,1,1,4
268,CHINASAT-ROUTE7,1,CHN,115.5,19.02.2014,1544,1,1,1,1,4
689,DFH-5-OD,1,CHN,115.5,13.06.2010,1544,1,1,1,1,4
1502,CHINASAT-DL5,2,CHN,115.5,06.11.2017,1544,1,1,1,1,4
1531,CHINASAT-MSB4,1,CHN,115.5,13.06.2010,1544,1,1,1,1,4
582,DFH-4-OD,1,CHN,115.5,21.04.1998,1560,1,1,1,1,4
30,CHINASAT-49,1,CHN,125.0,22.11.2005,1574,1,1,1,1,4
1430,CHINASAT-115.5E,1,CHN,115.5,27.08.2008,1574,1,1,1,1,4
621,CTDRS-1-77E,1,CHN,77.0,03.12.2009,1717,1,1,1,1,4
1530,CTDRS-1-80E,1,CHN,80.0,03.12.2009,1717,1,1,1,1,4
1519,APSTAR-142E-R,1,CHN,142.0,12.05.2014,1733,1,1,1,1,4
351,CHINASAT-ROUTE8,1,CHN,125.0,18.07.2022,1752,1,1,1,1,4
1571,DFH-3A-OB,1,CHN,110.5,29.04.2003,1771,1,1,1,1,4
728,CHINASAT-6,1,CHN,110.5,21.04.1998,1818,1,1,1,1,4
1520,APSTAR-142E-R,2,CHN,142.0,12.05.2014,1820,1,1,1,1,4
703,CHINASAT-64,1,CHN,98.0,16.07.2008,1847,1,1,1,1,4
839,CHINASAT-65,1,CHN,103.0,16.07.2008,1847,1,1,1,1,4
1063,SINOSAT-3C,1,CHN,130.0,12.12.2005,1971,1,1,1,1,4
1517,APSTAR-4,1,CHN,76.5,21.04.1998,2045,1,1,1,1,4
1610,APSTAR-76E,1,CHN,76.5,26.06.2008,2045,1,1,1,1,4
920,CHINASAT-C20,1,CHN,126.0,31.05.2019,2061,1,1,1,1,4
1066,CHINASAT-CL11,2,CHN,163.0,01.06.2017,2061,1,1,1,1,4
1138,DFH-3-OC,1,CHN,87.5,21.04.1998,2061,1,1,1,1,4
1362,FY-2A,1,CHN,105.0,13.05.1998,2174,1,1,1,1,4
328,DFH-3-OA,1,CHN,125.0,21.04.1998,2203,1,1,1,1,4
1403,FY-2BS,1,CHN,86.5,13.09.2004,2258,1,1,1,1,4
939,ASIASAT-E,1,CHN,100.5,02.11.2009,2271,1,1,1,1,4
