,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
439,MEASAT-1,1,MLA,91.5,31.05.2022,25,1,1,1,1,4
995,MEASAT-AK 91.5,2,MLA,91.5,31.05.2022,25,1,1,1,1,4
1339,MEASAT-1A,3,MLA,91.5,31.05.2022,25,1,1,1,1,4
908,MEASAT-SA1A,1,MLA,5.0,21.12.2017,1115,1,1,1,1,4
753,MEASAT-46E-R,1,MLA,46.0,15.01.2013,1318,1,1,1,1,4
1357,MEASAT-46E,1,MLA,46.0,15.01.2013,1318,1,1,1,1,4
299,MEASAT-IK 91.5E,1,MLA,91.5,28.07.1999,1632,1,1,1,1,4
440,MEASAT-1,2,MLA,91.5,31.05.2022,1632,1,1,1,1,4
612,MEASAT-91.5E,1,MLA,91.5,05.06.2003,1632,1,1,1,1,4
994,MEASAT-AK 91.5,1,MLA,91.5,31.05.2022,1632,1,1,1,1,4
1264,MEASAT-IC 91.5,1,MLA,91.5,28.07.1999,1632,1,1,1,1,4
1338,MEASAT-1A,2,MLA,91.5,31.05.2022,1632,1,1,1,1,4
1398,MEASAT-1R,1,MLA,91.5,31.05.2022,1632,1,1,1,1,4
443,MEASAT-1,5,MLA,91.5,31.05.2022,1943,1,1,1,1,4
996,MEASAT-AK 91.5,3,MLA,91.5,31.05.2022,1943,1,1,1,1,4
1340,MEASAT-1A,4,MLA,91.5,31.05.2022,1943,1,1,1,1,4
1337,MEASAT-1A,1,MLA,91.5,31.05.2022,2365,1,1,1,1,4
1342,MEASAT-1A,6,MLA,91.5,31.05.2022,2537,1,1,1,1,4
407,MEASAT-1B,1,MLA,91.5,31.05.2022,4764,1,1,1,1,4
442,MEASAT-1,4,MLA,91.5,31.05.2022,4764,1,1,1,1,4
544,MEASAT-1C,1,MLA,91.5,31.05.2022,4764,1,1,1,1,4
903,MEASAT-91.5E,1,MLA,91.5,31.05.2022,4764,1,1,1,1,4
997,MEASAT-AK 91.5,4,MLA,91.5,31.05.2022,4764,1,1,1,1,4
1341,MEASAT-1A,5,MLA,91.5,31.05.2022,4764,1,1,1,1,4
1399,MEASAT-1R,2,MLA,91.5,31.05.2022,4764,1,1,1,1,4
1437,MEASAT-IC 91.5,1,MLA,91.5,31.05.2022,4764,1,1,1,1,4
300,MEASAT-IK 91.5E,2,MLA,91.5,28.07.1999,4860,1,1,1,1,4
441,MEASAT-1,3,MLA,91.5,31.05.2022,4860,1,1,1,1,4
998,MEASAT-AK 91.5,5,MLA,91.5,31.05.2022,4860,1,1,1,1,4
1265,MEASAT-IC 91.5,2,MLA,91.5,28.07.1999,4860,1,1,1,1,4
5,INDOSTAR-110E,1,INS,108.2,07.12.2013,36,0,1,1,1,3
979,LUX-G7-20,1,LUX,108.2,01.08.2016,36,0,1,1,1,3
1111,USASAT-28O,1,USA,-86.15,10.09.2018,36,0,1,1,1,3
1146,GIBSAT-108.2E,1,G,108.2,11.01.2019,36,0,1,1,1,3
1172,INDOSTAR-110E-K,1,INS,108.2,09.09.2014,36,0,1,1,1,3
1282,LUX-G5-25,2,LUX,108.2,30.04.2013,36,0,1,1,1,3
1575,AM-SAT-108.2E-G,2,G,108.2,17.04.2013,36,0,1,1,1,3
939,ASIASAT-E,1,CHN,100.5,02.11.2009,51,0,1,1,1,3
16,3GSAT-G17R,1,F,10.0,26.02.2010,79,0,1,1,1,3
480,F-SAT-N-E-10E,1,F,10.0,20.05.2016,79,0,1,1,1,3
700,F-SAT-S-E-10E,1,F,10.0,13.01.2012,79,0,1,1,1,3
849,F-SAT-N3-10E,1,F,10.0,25.09.2019,79,0,1,1,1,3
1539,F-SAT-C-E-10E,1,F,10.0,04.11.2009,79,0,1,1,1,3
1438,USASAT-26A,1,USA,-37.5,22.06.2009,85,0,1,1,1,3
510,INTERSPUTNIK-17E-CK,1,RUS,17.0,26.06.2009,126,0,1,1,1,3
33,VOLNA-3R,1,RUS,-11.0,21.01.2013,130,0,1,1,1,3
447,EXPRESS-B 11W,1,RUS,-11.0,29.01.2016,130,0,1,1,1,3
571,F-SAT-N-E-36E,1,F,36.0,26.05.2016,156,0,1,1,1,3
