License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
KYPROS-29.6E,Cyprus 🇨🇾,29.6°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-29.6E&sel_satname=KYPROS-29.6E&plan_id=
USGAE-16R,United States 🇺🇸,30.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-16R&sel_satname=USGAE-16R&plan_id=
SWZ00000,Eswatini 🇸🇿,30.1°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SWZ00000&sel_satname=SWZ00000&plan_id=plan
STP00000,Sao Tome and Principe 🇸🇹,30.25°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=STP00000&sel_satname=STP00000&plan_id=plan
MN-GEO-30.45,China 🇨🇳,30.45°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MN-GEO-30.45&sel_satname=MN-GEO-30.45&plan_id=
ROU00000,Romania 🇷🇴,30.45°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ROU00000&sel_satname=ROU00000&plan_id=plan
ROU-MILSATCOM1-30.45E,Romania 🇷🇴,30.45°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ROU-MILSATCOM1-30.45E&sel_satname=ROU-MILSATCOM1-30.45E&plan_id=
SECOMSAT-5-29E,Spain 🇪🇸,29.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SECOMSAT-5-29E&sel_satname=SECOMSAT-5-29E&plan_id=
IRIS-10B,United States 🇺🇸,29.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRIS-10B&sel_satname=IRIS-10B&plan_id=
SECOMSAT-6-29E,Spain 🇪🇸,29.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SECOMSAT-6-29E&sel_satname=SECOMSAT-6-29E&plan_id=
FLTSATCOM-C INDOC-1,United States 🇺🇸,29.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+INDOC-1&sel_satname=FLTSATCOM-C+INDOC-1&plan_id=
SECOMSAT B29E,Spain 🇪🇸,29.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SECOMSAT+B29E&sel_satname=SECOMSAT+B29E&plan_id=
ARABSAT-11A-30.5E,Saudi Arabia 🇸🇦,30.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-11A-30.5E&sel_satname=ARABSAT-11A-30.5E&plan_id=
ARABSAT 7A-30.5E,Saudi Arabia 🇸🇦,30.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+7A-30.5E&sel_satname=ARABSAT+7A-30.5E&plan_id=
ARABSAT-AXB30.5E,Saudi Arabia 🇸🇦,30.5°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT-AXB30.5E&sel_satname=ARABSAT-AXB30.5E&plan_id=plan
ARABSAT 5A-30.5E,Saudi Arabia 🇸🇦,30.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+5A-30.5E&sel_satname=ARABSAT+5A-30.5E&plan_id=
