License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
USTRO-4,United States 🇺🇸,13.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USTRO-4&sel_satname=USTRO-4&plan_id=
USCSID-E2,United States 🇺🇸,13.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-E2&sel_satname=USCSID-E2&plan_id=
P92-4,United States 🇺🇸,13.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-4&sel_satname=P92-4&plan_id=
P-197-4,United States 🇺🇸,13.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P-197-4&sel_satname=P-197-4&plan_id=
P92-4A,United States 🇺🇸,13.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=P92-4A&sel_satname=P92-4A&plan_id=
FOTON-1,Russian Federation 🇷🇺,13.5°W,Planned,Notification of Space Station (N),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FOTON-1&sel_satname=FOTON-1&plan_id=plan
FOTON-1,Russian Federation 🇷🇺,13.5°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FOTON-1&sel_satname=FOTON-1&plan_id=
POTOK-1,Russian Federation 🇷🇺,13.5°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=POTOK-1&sel_satname=POTOK-1&plan_id=
HISPASAT-91A,Spain 🇪🇸,12.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-91A&sel_satname=HISPASAT-91A&plan_id=
F-SAT-N7-12.5W,France 🇫🇷,12.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-12.5W&sel_satname=F-SAT-N7-12.5W&plan_id=
HISPASAT-58A,Spain 🇪🇸,12.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-58A&sel_satname=HISPASAT-58A&plan_id=
HISPASAT-58A_1,Spain 🇪🇸,12.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-58A_1&sel_satname=HISPASAT-58A_1&plan_id=
F-SAT-N-E-12.5W,France 🇫🇷,12.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-12.5W&sel_satname=F-SAT-N-E-12.5W&plan_id=
F-SAT-KU2-E-12.5W,France 🇫🇷,12.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-KU2-E-12.5W&sel_satname=F-SAT-KU2-E-12.5W&plan_id=
F-SAT-N3-12.5W,France 🇫🇷,12.5°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-12.5W&sel_satname=F-SAT-N3-12.5W&plan_id=
