License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
YAHSAT-FSS-52.5E,United Arab Emirates 🇦🇪,52.5°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAHSAT-FSS-52.5E&sel_satname=YAHSAT-FSS-52.5E&plan_id=plan
YAHSAT,United Arab Emirates 🇦🇪,52.5°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAHSAT&sel_satname=YAHSAT&plan_id=
EMARSAT-5G,United Arab Emirates 🇦🇪,52.5°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EMARSAT-5G&sel_satname=EMARSAT-5G&plan_id=
EMARSAT-1G,United Arab Emirates 🇦🇪,52.5°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EMARSAT-1G&sel_satname=EMARSAT-1G&plan_id=
YAHSAT-FSS2-52.5E,United Arab Emirates 🇦🇪,52.5°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAHSAT-FSS2-52.5E&sel_satname=YAHSAT-FSS2-52.5E&plan_id=plan
YAHSAT-FSS4-52.5E,United Arab Emirates 🇦🇪,52.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS4-52.5E&sel_satname=YAHSAT-FSS4-52.5E&plan_id=plan
YAHSAT-FSS3-52.5E,United Arab Emirates 🇦🇪,52.5°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS3-52.5E&sel_satname=YAHSAT-FSS3-52.5E&plan_id=plan
MADAR-52.5E,United Arab Emirates 🇦🇪,52.5°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MADAR-52.5E&sel_satname=MADAR-52.5E&plan_id=
MADAR-52.5E-3,United Arab Emirates 🇦🇪,52.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-52.5E-3&sel_satname=MADAR-52.5E-3&plan_id=
LUX-G11-14,Luxembourg 🇱🇺,52.2°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-14&sel_satname=LUX-G11-14&plan_id=
LUX-G11-14_1,Luxembourg 🇱🇺,52.2°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-14_1&sel_satname=LUX-G11-14_1&plan_id=
MONASAT-52EC,Monaco 🇲🇨,52.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MONASAT-52EC&sel_satname=MONASAT-52EC&plan_id=
MONASAT-52EA,Monaco 🇲🇨,52.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MONASAT-52EA&sel_satname=MONASAT-52EA&plan_id=
MONASAT-52EB,Monaco 🇲🇨,52.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MONASAT-52EB&sel_satname=MONASAT-52EB&plan_id=
MCO-FSS-52E,Monaco 🇲🇨,52.0°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MCO-FSS-52E&sel_satname=MCO-FSS-52E&plan_id=plan
MCO-FSS-52EAP,Monaco 🇲🇨,52.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MCO-FSS-52EAP&sel_satname=MCO-FSS-52EAP&plan_id=plan
MCO-FSS-52EA,Monaco 🇲🇨,52.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MCO-FSS-52EA&sel_satname=MCO-FSS-52EA&plan_id=plan
MCO-FSS-52EB,Monaco 🇲🇨,52.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MCO-FSS-52EB&sel_satname=MCO-FSS-52EB&plan_id=plan
MCO00000,Monaco 🇲🇨,52.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MCO00000&sel_satname=MCO00000&plan_id=plan
MCO-FSS-52EA TTC,Monaco 🇲🇨,52.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MCO-FSS-52EA+TTC&sel_satname=MCO-FSS-52EA+TTC&plan_id=plan
SKYNET-53E-KQ2,United Kingdom 🇬🇧,53.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SKYNET-53E-KQ2&sel_satname=SKYNET-53E-KQ2&plan_id=
EXPRESS-5,Russian Federation 🇷🇺,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-5&sel_satname=EXPRESS-5&plan_id=
EXPRESS-5KA,Russian Federation 🇷🇺,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-5KA&sel_satname=EXPRESS-5KA&plan_id=
EXPRESS-5B,Russian Federation 🇷🇺,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-5B&sel_satname=EXPRESS-5B&plan_id=
F-SAT-30B-53E,France 🇫🇷,53.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-53E&sel_satname=F-SAT-30B-53E&plan_id=plan
SKYNET-4L,United Kingdom 🇬🇧,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SKYNET-4L&sel_satname=SKYNET-4L&plan_id=
SKYNET-4C,United Kingdom 🇬🇧,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SKYNET-4C&sel_satname=SKYNET-4C&plan_id=
VOLNA-4,Russian Federation 🇷🇺,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-4&sel_satname=VOLNA-4&plan_id=
USNN-2,United States 🇺🇸,53.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USNN-2&sel_satname=USNN-2&plan_id=
EXPRESS-5P,Russian Federation 🇷🇺,53.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-5P&sel_satname=EXPRESS-5P&plan_id=plan
SKYNET-5D,United Kingdom 🇬🇧,53.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SKYNET-5D&sel_satname=SKYNET-5D&plan_id=
SKYNET-53E-KQ,United Kingdom 🇬🇧,53.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SKYNET-53E-KQ&sel_satname=SKYNET-53E-KQ&plan_id=
ARS00000,Saudi Arabia 🇸🇦,51.9°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ARS00000&sel_satname=ARS00000&plan_id=plan
CHINASAT-ROUTE1,China 🇨🇳,51.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-ROUTE1&sel_satname=CHINASAT-ROUTE1&plan_id=
TIBASAT-51.5E,Egypt 🇪🇬,51.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TIBASAT-51.5E&sel_satname=TIBASAT-51.5E&plan_id=
CHINASAT-E-51.5E,China 🇨🇳,51.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHINASAT-E-51.5E&sel_satname=CHINASAT-E-51.5E&plan_id=
BLR-FSS2-51.5E,Belarus 🇧🇾,51.5°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BLR-FSS2-51.5E&sel_satname=BLR-FSS2-51.5E&plan_id=plan
BLR-FSS-51.5E,Belarus 🇧🇾,51.5°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BLR-FSS-51.5E&sel_satname=BLR-FSS-51.5E&plan_id=plan
USOBO-12B,United States 🇺🇸,51.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-12B&sel_satname=USOBO-12B&plan_id=
CHINASAT-CL2,China 🇨🇳,51.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-CL2&sel_satname=CHINASAT-CL2&plan_id=
CHINASAT-51.5E,China 🇨🇳,51.5°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-51.5E&sel_satname=CHINASAT-51.5E&plan_id=
