License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
PACSTAR-L4,Papua New Guinea 🇵🇬,121.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PACSTAR-L4&sel_satname=PACSTAR-L4&plan_id=
DIMENSION-10,United Kingdom 🇬🇧,121.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-10&sel_satname=DIMENSION-10&plan_id=
DIMENSION-10,United Kingdom 🇬🇧,121.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=DIMENSION-10&sel_satname=DIMENSION-10&plan_id=plan
USASAT-31G,United States 🇺🇸,121.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-31G&sel_satname=USASAT-31G&plan_id=
USASAT-23G,United States 🇺🇸,121.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-23G&sel_satname=USASAT-23G&plan_id=
DIMENSION-9,United Kingdom 🇬🇧,120.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=DIMENSION-9&sel_satname=DIMENSION-9&plan_id=plan
IDRSS-PFSS-240E,India 🇮🇳,120.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IDRSS-PFSS-240E&sel_satname=IDRSS-PFSS-240E&plan_id=plan
DIMENSION-9,United Kingdom 🇬🇧,120.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-9&sel_satname=DIMENSION-9&plan_id=
MILSTAR 6,United States 🇺🇸,120.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MILSTAR+6&sel_satname=MILSTAR+6&plan_id=
IDRSS-ISL-240E,India 🇮🇳,120.0°W,Non-Planned,Advance Public Information (A),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=IDRSS-ISL-240E&sel_satname=IDRSS-ISL-240E&plan_id=
IDRSS-NPB-240E,India 🇮🇳,120.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IDRSS-NPB-240E&sel_satname=IDRSS-NPB-240E&plan_id=
USGAE-6M,United States 🇺🇸,120.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-6M&sel_satname=USGAE-6M&plan_id=
USGOVSAT-13B,United States 🇺🇸,121.9°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-13B&sel_satname=USGOVSAT-13B&plan_id=
USGOVSAT-13R,United States 🇺🇸,121.9°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-13R&sel_satname=USGOVSAT-13R&plan_id=
USGOVSAT-13A,United States 🇺🇸,121.9°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-13A&sel_satname=USGOVSAT-13A&plan_id=
