License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
NSS-FSS 135W-1,Netherlands 🇳🇱,135.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+135W-1&sel_satname=NSS-FSS+135W-1&plan_id=plan
NSS-G7 135W,Netherlands 🇳🇱,135.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G7+135W&sel_satname=NSS-G7+135W&plan_id=
USASAT-21A,United States 🇺🇸,135.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-21A&sel_satname=USASAT-21A&plan_id=
USASAT-22K,United States 🇺🇸,135.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-22K&sel_satname=USASAT-22K&plan_id=
USGOVSAT-3R,United States 🇺🇸,135.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-3R&sel_satname=USGOVSAT-3R&plan_id=
LUX-G10-37-A,Luxembourg 🇱🇺,135.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G10-37-A&sel_satname=LUX-G10-37-A&plan_id=
LUX-G8-36,Luxembourg 🇱🇺,135.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G8-36&sel_satname=LUX-G8-36&plan_id=
USGCSS PH3B E PAC,United States 🇺🇸,135.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3B+E+PAC&sel_satname=USGCSS+PH3B+E+PAC&plan_id=
DIMENSION-7,United Kingdom 🇬🇧,135.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-7&sel_satname=DIMENSION-7&plan_id=
LUX-G15-37,Luxembourg 🇱🇺,135.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G15-37&sel_satname=LUX-G15-37&plan_id=
GTM00000,Guatemala 🇬🇹,135.7°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GTM00000&sel_satname=GTM00000&plan_id=plan
