License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
INSAT-EK48,India 🇮🇳,48.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-EK48&sel_satname=INSAT-EK48&plan_id=
F-SAT-N-E-48E,France 🇫🇷,48.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-48E&sel_satname=F-SAT-N-E-48E&plan_id=
INSAT-EK48R,India 🇮🇳,48.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-EK48R&sel_satname=INSAT-EK48R&plan_id=
INSAT-EHFL-48E,India 🇮🇳,48.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-EHFL-48E&sel_satname=INSAT-EHFL-48E&plan_id=
INSAT-KU17(48E),India 🇮🇳,48.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-KU17(48E)&sel_satname=INSAT-KU17(48E)&plan_id=
F-SAT-N3-48E,France 🇫🇷,48.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-48E&sel_satname=F-SAT-N3-48E&plan_id=
INSAT-L-MSS(48E),India 🇮🇳,48.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-L-MSS(48E)&sel_satname=INSAT-L-MSS(48E)&plan_id=
F-SAT-N7-48E,France 🇫🇷,48.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-48E&sel_satname=F-SAT-N7-48E&plan_id=
INSAT-KA48E,India 🇮🇳,48.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-KA48E&sel_satname=INSAT-KA48E&plan_id=
INSAT-2T (48),India 🇮🇳,48.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-2T+(48)&sel_satname=INSAT-2T+(48)&plan_id=
