License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
NSS-FSS-G2 103W,Netherlands 🇳🇱,103.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS-G2+103W&sel_satname=NSS-FSS-G2+103W&plan_id=plan
NSS-G8-103W,Netherlands 🇳🇱,103.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G8-103W&sel_satname=NSS-G8-103W&plan_id=
CAN-BSS62,Canada 🇨🇦,103.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CAN-BSS62&sel_satname=CAN-BSS62&plan_id=
USASAT-24F,United States 🇺🇸,103.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24F&sel_satname=USASAT-24F&plan_id=
CAN-BSS19,Canada 🇨🇦,103.0°W,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CAN-BSS19&sel_satname=CAN-BSS19&plan_id=
USASAT-35H,United States 🇺🇸,103.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35H&sel_satname=USASAT-35H&plan_id=
USASAT-31L,United States 🇺🇸,103.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-31L&sel_satname=USASAT-31L&plan_id=
USABSN-12A,United States 🇺🇸,103.0°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USABSN-12A&sel_satname=USABSN-12A&plan_id=
USASAT-70W,United States 🇺🇸,102.8°W,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-70W&sel_satname=USASAT-70W&plan_id=
COLSAT-2A,Colombia 🇨🇴,103.2°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=COLSAT-2A&sel_satname=COLSAT-2A&plan_id=
