License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
ARABSAT-8B-26ER,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-8B-26ER&sel_satname=ARABSAT-8B-26ER&plan_id=
IRN-30B-26E,Iran (Islamic Republic of) 🇮🇷,26.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IRN-30B-26E&sel_satname=IRN-30B-26E&plan_id=plan
ARABSAT-KU-26E,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT-KU-26E&sel_satname=ARABSAT-KU-26E&plan_id=
ESHAILSAT-26E-2,Qatar 🇶🇦,26.0°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ESHAILSAT-26E-2&sel_satname=ESHAILSAT-26E-2&plan_id=plan
ARABSAT 2-B,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+2-B&sel_satname=ARABSAT+2-B&plan_id=
ARABSAT 7B-26E,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+7B-26E&sel_satname=ARABSAT+7B-26E&plan_id=
QATARSAT-AMATEUR,Qatar 🇶🇦,26.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=QATARSAT-AMATEUR&sel_satname=QATARSAT-AMATEUR&plan_id=
ARABSAT-AX26E_C,Saudi Arabia 🇸🇦,26.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT-AX26E_C&sel_satname=ARABSAT-AX26E_C&plan_id=plan
IRANSAT-26E,Iran (Islamic Republic of) 🇮🇷,26.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-26E&sel_satname=IRANSAT-26E&plan_id=
QATARSAT-30B-26E,Qatar 🇶🇦,26.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=QATARSAT-30B-26E&sel_satname=QATARSAT-30B-26E&plan_id=plan
ARABSAT-AX26E_KU,Saudi Arabia 🇸🇦,26.0°E,Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT-AX26E_KU&sel_satname=ARABSAT-AX26E_KU&plan_id=plan
ARABSAT 5B-26E,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+5B-26E&sel_satname=ARABSAT+5B-26E&plan_id=
ARABSAT-KA-26E,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT-KA-26E&sel_satname=ARABSAT-KA-26E&plan_id=
ARABSAT-11B-26E,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-11B-26E&sel_satname=ARABSAT-11B-26E&plan_id=
ARABSAT 1-B,Saudi Arabia 🇸🇦,26.0°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+1-B&sel_satname=ARABSAT+1-B&plan_id=
ZOHREH-2,Iran (Islamic Republic of) 🇮🇷,26.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ZOHREH-2&sel_satname=ZOHREH-2&plan_id=
