License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Matched Characteristics,Link
H2M-0.5E,Germany 🇩🇪,0.5°E,Non-Planned,Due Diligence (U),Yes,Yes,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=H2M-0.5E&sel_satname=H2M-0.5E&plan_id=
H2SAT-0.5E,Germany 🇩🇪,0.5°E,Non-Planned,Advance Public Information (A),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=H2SAT-0.5E&sel_satname=H2SAT-0.5E&plan_id=
H2M-TNG-0.5E,Germany 🇩🇪,0.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=H2M-TNG-0.5E&sel_satname=H2M-TNG-0.5E&plan_id=
CYP00000,Cyprus 🇨🇾,0.5°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CYP00000&sel_satname=CYP00000&plan_id=plan
SIGNSAT-1E,China 🇨🇳,0.6°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-1E&sel_satname=SIGNSAT-1E&plan_id=
USCSID-A1,United States 🇺🇸,0.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-A1&sel_satname=USCSID-A1&plan_id=
MTG-EUM_0E,Germany 🇩🇪,0.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MTG-EUM_0E&sel_satname=MTG-EUM_0E&plan_id=
MSG,France 🇫🇷,0.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MSG&sel_satname=MSG&plan_id=
QATARSAT-G4-0.9E_1,Qatar 🇶🇦,0.9°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G4-0.9E_1&sel_satname=QATARSAT-G4-0.9E_1&plan_id=
QAT00000,Qatar 🇶🇦,0.9°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=QAT00000&sel_satname=QAT00000&plan_id=plan
QATARSAT-G4-0.9E,Qatar 🇶🇦,0.9°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G4-0.9E&sel_satname=QATARSAT-G4-0.9E&plan_id=
QATARSAT-30B-0.9E-G2,Qatar 🇶🇦,0.9°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=QATARSAT-30B-0.9E-G2&sel_satname=QATARSAT-30B-0.9E-G2&plan_id=plan
ARABSAT-9L-1E,Saudi Arabia 🇸🇦,1.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-9L-1E&sel_satname=ARABSAT-9L-1E&plan_id=
NEWSAT-1A-1E,Italy 🇮🇹,1.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NEWSAT-1A-1E&sel_satname=NEWSAT-1A-1E&plan_id=
STATSIONAR-22,Russian Federation 🇷🇺,1.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=STATSIONAR-22&sel_satname=STATSIONAR-22&plan_id=
ARABSAT-10G-1E,Saudi Arabia 🇸🇦,1.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-10G-1E&sel_satname=ARABSAT-10G-1E&plan_id=
GALS-15,Russian Federation 🇷🇺,1.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GALS-15&sel_satname=GALS-15&plan_id=
VOLNA-21,Russian Federation 🇷🇺,1.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-21&sel_satname=VOLNA-21&plan_id=
LUX-G12-1,Luxembourg 🇱🇺,1.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G12-1&sel_satname=LUX-G12-1&plan_id=
TOR-15M,Russian Federation 🇷🇺,1.0°E,Non-Planned,Due Diligence (U),Yes,No,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TOR-15M&sel_satname=TOR-15M&plan_id=
EG-SAT-FSS-0.4W,France 🇫🇷,0.4°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=EG-SAT-FSS-0.4W&sel_satname=EG-SAT-FSS-0.4W&plan_id=plan
