License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
INMARSAT-KA 55W,United Kingdom 🇬🇧,55.0°W,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-KA+55W&sel_satname=INMARSAT-KA+55W&plan_id=
AL-SAT-FSS-55W,France 🇫🇷,55.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AL-SAT-FSS-55W&sel_satname=AL-SAT-FSS-55W&plan_id=plan
SE-KA-55W,Norway 🇳🇴,55.0°W,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SE-KA-55W&sel_satname=SE-KA-55W&plan_id=
SE-KA-55W-QV,Norway 🇳🇴,55.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-KA-55W-QV&sel_satname=SE-KA-55W-QV&plan_id=
F-SAT-30B-55.5W,France 🇫🇷,55.5°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-55.5W&sel_satname=F-SAT-30B-55.5W&plan_id=plan
USASAT-55U,United States 🇺🇸,55.5°W,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55U&sel_satname=USASAT-55U&plan_id=
F-SAT-N7-55.5W,France 🇫🇷,55.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-55.5W&sel_satname=F-SAT-N7-55.5W&plan_id=
INTELSAT7 304.5E,United States 🇺🇸,55.5°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+304.5E&sel_satname=INTELSAT7+304.5E&plan_id=
INTELSAT8 304.5E,United States 🇺🇸,55.5°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+304.5E&sel_satname=INTELSAT8+304.5E&plan_id=
INTELSAT9 304.5E,United States 🇺🇸,55.5°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT9+304.5E&sel_satname=INTELSAT9+304.5E&plan_id=
