License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
FMS5-37E,France 🇫🇷,37.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS5-37E&sel_satname=FMS5-37E&plan_id=
S2,Saudi Arabia 🇸🇦,37.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=S2&sel_satname=S2&plan_id=
SICRAL-4-37E,Italy 🇮🇹,37.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SICRAL-4-37E&sel_satname=SICRAL-4-37E&plan_id=
CANGYU-2,China 🇨🇳,37.2°E,Non-Planned,Advance Public Information (A),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=CANGYU-2&sel_satname=CANGYU-2&plan_id=
D  00002,Germany 🇩🇪,37.2°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=D++00002&sel_satname=D++00002&plan_id=plan
EUTELSAT EXB-36E,France 🇫🇷,36.0°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-36E&sel_satname=EUTELSAT+EXB-36E&plan_id=plan
EXPRESS-KA-36E,Russian Federation 🇷🇺,36.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=EXPRESS-KA-36E&sel_satname=EXPRESS-KA-36E&plan_id=
EUTELSAT 3-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+3-36E&sel_satname=EUTELSAT+3-36E&plan_id=
EUTELSAT-KA-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT-KA-36E&sel_satname=EUTELSAT-KA-36E&plan_id=
F-SAT-KU3-E-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-KU3-E-36E&sel_satname=F-SAT-KU3-E-36E&plan_id=
F-SAT-N-E-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-36E&sel_satname=F-SAT-N-E-36E&plan_id=
EUTELSAT 2-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+2-36E&sel_satname=EUTELSAT+2-36E&plan_id=
F-SAT-N3-36E,France 🇫🇷,36.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-36E&sel_satname=F-SAT-N3-36E&plan_id=
