License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
SISCOMIS-2,Brazil 🇧🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SISCOMIS-2&sel_satname=SISCOMIS-2&plan_id=
B-SAT-3R,Brazil 🇧🇷,65.0°W,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-3R&sel_satname=B-SAT-3R&plan_id=plan
B  00011,Brazil 🇧🇷,65.0°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=B++00011&sel_satname=B++00011&plan_id=plan
B-SAT-3R-1,Brazil 🇧🇷,65.0°W,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-3R-1&sel_satname=B-SAT-3R-1&plan_id=plan
F-SAT-N4-65W,France 🇫🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N4-65W&sel_satname=F-SAT-N4-65W&plan_id=
B-SAT-1R-2,Brazil 🇧🇷,65.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=B-SAT-1R-2&sel_satname=B-SAT-1R-2&plan_id=
B-SAT-2R,Brazil 🇧🇷,65.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=B-SAT-2R&sel_satname=B-SAT-2R&plan_id=
SISCOMIS-2A,Brazil 🇧🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SISCOMIS-2A&sel_satname=SISCOMIS-2A&plan_id=
RAGGIANA-2,Papua New Guinea 🇵🇬,65.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=RAGGIANA-2&sel_satname=RAGGIANA-2&plan_id=
USNN-1,United States 🇺🇸,65.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USNN-1&sel_satname=USNN-1&plan_id=
B-SAT-1R,Brazil 🇧🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-1R&sel_satname=B-SAT-1R&plan_id=
B-SAT-R,Brazil 🇧🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,None,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-R&sel_satname=B-SAT-R&plan_id=
SBTS B2,Brazil 🇧🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SBTS+B2&sel_satname=SBTS+B2&plan_id=
B-SAT-1R-1,Brazil 🇧🇷,65.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-1R-1&sel_satname=B-SAT-1R-1&plan_id=
