License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
MADAR-142E-3,United Arab Emirates 🇦🇪,142.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-142E-3&sel_satname=MADAR-142E-3&plan_id=
LAO00000,Lao P.D.R. 🇱🇦,142.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=LAO00000&sel_satname=LAO00000&plan_id=plan
YAHSAT-FSS-142E,United Arab Emirates 🇦🇪,142.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS-142E&sel_satname=YAHSAT-FSS-142E&plan_id=plan
THAICOM-G3K,Thailand 🇹🇭,142.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=THAICOM-G3K&sel_satname=THAICOM-G3K&plan_id=
APSTAR-142E,China 🇨🇳,142.0°E,Non-Planned,Due Diligence (U),Yes,None,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=APSTAR-142E&sel_satname=APSTAR-142E&plan_id=
APSTAR-142E-R,China 🇨🇳,142.0°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=APSTAR-142E-R&sel_satname=APSTAR-142E-R&plan_id=
MADAR-142E-2_1,United Arab Emirates 🇦🇪,142.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-142E-2_1&sel_satname=MADAR-142E-2_1&plan_id=
MADAR-142E-2,United Arab Emirates 🇦🇪,142.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-142E-2&sel_satname=MADAR-142E-2&plan_id=
APSTAR-G5-142E,China 🇨🇳,142.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=APSTAR-G5-142E&sel_satname=APSTAR-G5-142E&plan_id=
KOREASAT-142K,Korea (Rep. of) 🇰🇷,142.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KOREASAT-142K&sel_satname=KOREASAT-142K&plan_id=
