License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
HISPASAT-50A,Spain 🇪🇸,74.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-50A&sel_satname=HISPASAT-50A&plan_id=
HISPASAT-86A,Spain 🇪🇸,74.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-86A&sel_satname=HISPASAT-86A&plan_id=
USASAT-55E-2,United States 🇺🇸,74.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-55E-2&sel_satname=USASAT-55E-2&plan_id=
HISPASAT-2-74W,Spain 🇪🇸,74.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-2-74W&sel_satname=HISPASAT-2-74W&plan_id=
HISPASAT-1-74W,Spain 🇪🇸,74.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-1-74W&sel_satname=HISPASAT-1-74W&plan_id=plan
HISPASAT-78A,Spain 🇪🇸,74.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-78A&sel_satname=HISPASAT-78A&plan_id=plan
HISPASAT-53A,Spain 🇪🇸,74.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-53A&sel_satname=HISPASAT-53A&plan_id=plan
NSS-G10-74W,Netherlands 🇳🇱,74.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G10-74W&sel_satname=NSS-G10-74W&plan_id=
BAH00000,Bahamas 🇧🇸,74.3°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BAH00000&sel_satname=BAH00000&plan_id=plan
TRD00000,Trinidad and Tobago 🇹🇹,73.4°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=TRD00000&sel_satname=TRD00000&plan_id=plan
CHL00000,Chile 🇨🇱,74.9°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CHL00000&sel_satname=CHL00000&plan_id=plan
SISCOMIS-4A,Brazil 🇧🇷,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SISCOMIS-4A&sel_satname=SISCOMIS-4A&plan_id=
B-SAT-1S-1,Brazil 🇧🇷,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-1S-1&sel_satname=B-SAT-1S-1&plan_id=
GOES-EAST-4,United States 🇺🇸,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOES-EAST-4&sel_satname=GOES-EAST-4&plan_id=
B-SAT-1S,Brazil 🇧🇷,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-1S&sel_satname=B-SAT-1S&plan_id=
GOES-EAST-2,United States 🇺🇸,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOES-EAST-2&sel_satname=GOES-EAST-2&plan_id=
SISCOMIS-4,Brazil 🇧🇷,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SISCOMIS-4&sel_satname=SISCOMIS-4&plan_id=
GOES-EAST-1,United States 🇺🇸,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOES-EAST-1&sel_satname=GOES-EAST-1&plan_id=
QATARSAT-G5-75W,Qatar 🇶🇦,75.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G5-75W&sel_satname=QATARSAT-G5-75W&plan_id=
B-SAT-S,Brazil 🇧🇷,75.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-S&sel_satname=B-SAT-S&plan_id=
