License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
USGAE-26A,United States 🇺🇸,94.2°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-26A&sel_satname=USGAE-26A&plan_id=
F-SAT-N8-94W,France 🇫🇷,94.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-94W&sel_satname=F-SAT-N8-94W&plan_id=
F-SAT-P-30B-94W-F,France 🇫🇷,94.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-94W-F&sel_satname=F-SAT-P-30B-94W-F&plan_id=plan
F-SAT-30B-94W,France 🇫🇷,94.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-94W&sel_satname=F-SAT-30B-94W&plan_id=plan
F-SAT-N6-94W,France 🇫🇷,94.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N6-94W&sel_satname=F-SAT-N6-94W&plan_id=
OHO-30B-95W-2,Sweden 🇸🇪,95.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OHO-30B-95W-2&sel_satname=OHO-30B-95W-2&plan_id=plan
YAHSAT-FSS-95W,United Arab Emirates 🇦🇪,95.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS-95W&sel_satname=YAHSAT-FSS-95W&plan_id=plan
USASAT-35L,United States 🇺🇸,95.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35L&sel_satname=USASAT-35L&plan_id=
UKSAT-10,United Kingdom 🇬🇧,95.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKSAT-10&sel_satname=UKSAT-10&plan_id=
UKSAT-43,United Kingdom 🇬🇧,95.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-43&sel_satname=UKSAT-43&plan_id=
UKSAT-31,United Kingdom 🇬🇧,95.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=UKSAT-31&sel_satname=UKSAT-31&plan_id=
BLUE1,Papua New Guinea 🇵🇬,95.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BLUE1&sel_satname=BLUE1&plan_id=
USASAT-60U,United States 🇺🇸,95.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60U&sel_satname=USASAT-60U&plan_id=
USASAT-70O,United States 🇺🇸,95.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-70O&sel_satname=USASAT-70O&plan_id=
USASAT-60F,United States 🇺🇸,95.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60F&sel_satname=USASAT-60F&plan_id=
USASAT-24L,United States 🇺🇸,95.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24L&sel_satname=USASAT-24L&plan_id=
USASAT-23F,United States 🇺🇸,95.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-23F&sel_satname=USASAT-23F&plan_id=
MADAR-95W-2,United Arab Emirates 🇦🇪,95.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-95W-2&sel_satname=MADAR-95W-2&plan_id=
BSSNET4-95W,Netherlands 🇳🇱,95.15°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BSSNET4-95W&sel_satname=BSSNET4-95W&plan_id=
USASAT-76E,United States 🇺🇸,95.2°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USASAT-76E&sel_satname=USASAT-76E&plan_id=
UKSAT-44,United Kingdom 🇬🇧,95.2°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-44&sel_satname=UKSAT-44&plan_id=
