License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
USASAT-35M,United States 🇺🇸,93.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35M&sel_satname=USASAT-35M&plan_id=
ODYSSEY-93W-1,Germany 🇩🇪,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-93W-1&sel_satname=ODYSSEY-93W-1&plan_id=
ICO-G,United Kingdom 🇬🇧,93.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ICO-G&sel_satname=ICO-G&plan_id=
MADAR-93W_1,United Arab Emirates 🇦🇪,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-93W_1&sel_satname=MADAR-93W_1&plan_id=
USASAT-61B,United States 🇺🇸,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-61B&sel_satname=USASAT-61B&plan_id=
ODYSSEY-93W,Germany 🇩🇪,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-93W&sel_satname=ODYSSEY-93W&plan_id=
UKSAT-34,United Kingdom 🇬🇧,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-34&sel_satname=UKSAT-34&plan_id=
MADAR-93W-2,United Arab Emirates 🇦🇪,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-93W-2&sel_satname=MADAR-93W-2&plan_id=
UKSAT-40,United Kingdom 🇬🇧,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-40&sel_satname=UKSAT-40&plan_id=
ODYSSEY FSS-93W,Germany 🇩🇪,93.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-93W&sel_satname=ODYSSEY+FSS-93W&plan_id=plan
YAHSAT-FSS-93W,United Arab Emirates 🇦🇪,93.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=YAHSAT-FSS-93W&sel_satname=YAHSAT-FSS-93W&plan_id=plan
MADAR-93W,United Arab Emirates 🇦🇪,93.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-93W&sel_satname=MADAR-93W&plan_id=
USASAT-24S,United States 🇺🇸,93.0°W,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24S&sel_satname=USASAT-24S&plan_id=
VCT00000,Saint Vincent and the Grenadines 🇻🇨,93.1°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=VCT00000&sel_satname=VCT00000&plan_id=plan
SBTS B4,Brazil 🇧🇷,92.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SBTS+B4&sel_satname=SBTS+B4&plan_id=
HTI00000,Haiti 🇭🇹,92.0°W,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HTI00000&sel_satname=HTI00000&plan_id=plan
