License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
PROGNOZ-6,Russian Federation 🇷🇺,166.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PROGNOZ-6&sel_satname=PROGNOZ-6&plan_id=
FUTURA-2,United Arab Emirates 🇦🇪,166.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FUTURA-2&sel_satname=FUTURA-2&plan_id=
ODYSSEY FSS-166E,Germany 🇩🇪,166.0°E,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ODYSSEY+FSS-166E&sel_satname=ODYSSEY+FSS-166E&plan_id=plan
ODYSSEY-FSS-166E,Germany 🇩🇪,166.0°E,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY-FSS-166E&sel_satname=ODYSSEY-FSS-166E&plan_id=plan
ODYSSEY-166E,Germany 🇩🇪,166.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-166E&sel_satname=ODYSSEY-166E&plan_id=
MADAR-166E,United Arab Emirates 🇦🇪,166.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-166E&sel_satname=MADAR-166E&plan_id=
DIMENSION-4,United Kingdom 🇬🇧,166.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-4&sel_satname=DIMENSION-4&plan_id=
USASAT-14H,United States 🇺🇸,166.0°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-14H&sel_satname=USASAT-14H&plan_id=
USASAT-60B,United States 🇺🇸,166.0°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60B&sel_satname=USASAT-60B&plan_id=
ODYSSEY-166E-1,Germany 🇩🇪,166.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-166E-1&sel_satname=ODYSSEY-166E-1&plan_id=
GOMS-166E,Russian Federation 🇷🇺,165.8°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOMS-166E&sel_satname=GOMS-166E&plan_id=
CTDRS-2-167E,China 🇨🇳,167.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CTDRS-2-167E&sel_satname=CTDRS-2-167E&plan_id=
VSSRD-2M,Russian Federation 🇷🇺,167.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VSSRD-2M&sel_satname=VSSRD-2M&plan_id=
VSSRD-2,Russian Federation 🇷🇺,167.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VSSRD-2&sel_satname=VSSRD-2&plan_id=
CHNNEWSAT-G1-167E,China 🇨🇳,167.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-167E&sel_satname=CHNNEWSAT-G1-167E&plan_id=
VSSRD-2,Russian Federation 🇷🇺,167.0°E,Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VSSRD-2&sel_satname=VSSRD-2&plan_id=plan
VSSRD-2M,Russian Federation 🇷🇺,167.0°E,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VSSRD-2M&sel_satname=VSSRD-2M&plan_id=plan
