License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
SECOMSAT-2-59W,Spain 🇪🇸,59.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SECOMSAT-2-59W&sel_satname=SECOMSAT-2-59W&plan_id=
B-SAT-59W,Brazil 🇧🇷,59.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=B-SAT-59W&sel_satname=B-SAT-59W&plan_id=
CHNNEWSAT-G1-59W,China 🇨🇳,59.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-59W&sel_satname=CHNNEWSAT-G1-59W&plan_id=
SECOMSAT-3-59W,Spain 🇪🇸,59.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SECOMSAT-3-59W&sel_satname=SECOMSAT-3-59W&plan_id=
HISPASAT-95A,Spain 🇪🇸,58.5°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-95A&sel_satname=HISPASAT-95A&plan_id=plan
HISPASAT-2-58.5W,Spain 🇪🇸,58.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-2-58.5W&sel_satname=HISPASAT-2-58.5W&plan_id=
HISPASAT-51A,Spain 🇪🇸,58.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-51A&sel_satname=HISPASAT-51A&plan_id=
HISPASAT-85A,Spain 🇪🇸,58.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-85A&sel_satname=HISPASAT-85A&plan_id=
HISPASAT-1-58.5W,Spain 🇪🇸,58.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-1-58.5W&sel_satname=HISPASAT-1-58.5W&plan_id=
F-SAT-N7-59.5W,France 🇫🇷,59.5°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-59.5W&sel_satname=F-SAT-N7-59.5W&plan_id=
USASAT-25G,United States 🇺🇸,58.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-25G&sel_satname=USASAT-25G&plan_id=
USASAT-26G,United States 🇺🇸,58.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-26G&sel_satname=USASAT-26G&plan_id=
USASAT-55S,United States 🇺🇸,58.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USASAT-55S&sel_satname=USASAT-55S&plan_id=
F-SAT-N7-58W,France 🇫🇷,58.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-58W&sel_satname=F-SAT-N7-58W&plan_id=
AMS-A12-58W,Israel 🇮🇱,58.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AMS-A12-58W&sel_satname=AMS-A12-58W&plan_id=
USASAT-26G-3,United States 🇺🇸,58.0°W,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-26G-3&sel_satname=USASAT-26G-3&plan_id=
NSS-FSS 58W,Netherlands 🇳🇱,58.0°W,Planned,Planned (P),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+58W&sel_satname=NSS-FSS+58W&plan_id=plan
ARSAT-P,Argentina 🇦🇷,58.0°W,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARSAT-P&sel_satname=ARSAT-P&plan_id=
