Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
AZERSAT-41E,Azerbaijan 🇦🇿,41.0°E,Non-Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AZERSAT-41E&sel_satname=AZERSAT-41E&plan_id=
S2-N,Saudi Arabia 🇸🇦,41.0°E,Non-Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=S2-N&sel_satname=S2-N&plan_id=
SIGNSAT-41E,China 🇨🇳,41.5°E,Non-Planned,Early-Stage,No,n/a,No,0.25°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-41E&sel_satname=SIGNSAT-41E&plan_id=
INSAT-KA41.8E,India 🇮🇳,41.8°E,Non-Planned,Early-Stage,No,n/a,No,0.55°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KA41.8E&sel_satname=INSAT-KA41.8E&plan_id=
NIG00000,Nigeria 🇳🇬,41.82°E,Planned,Early-Stage,No,n/a,No,0.57°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NIG00000&sel_satname=NIG00000&plan_id=plan
IRANSAT-40.5E,Iran (Islamic Republic of) 🇮🇷,40.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRANSAT-40.5E&sel_satname=IRANSAT-40.5E&plan_id=
GENESIS-20,Germany 🇩🇪,40.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GENESIS-20&sel_satname=GENESIS-20&plan_id=
TIBASAT-40.5E,Egypt 🇪🇬,40.5°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TIBASAT-40.5E&sel_satname=TIBASAT-40.5E&plan_id=
TURKSAT-42E-G,Türkiye 🇹🇷,42.0°E,Non-Planned,Early-Stage,No,n/a,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TURKSAT-42E-G&sel_satname=TURKSAT-42E-G&plan_id=
TURKSAT-42E-FSS-2,Türkiye 🇹🇷,42.0°E,Planned,Late-Stage,No,No,No,0.75°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-42E-FSS-2&sel_satname=TURKSAT-42E-FSS-2&plan_id=plan
