NORAD ID,Longitude
38978,-177.041615
33749,-176.9357762
39206,-176.4625191
39070,-174.2521301
51287,-164.6123959
56371,-162.9914816
39256,-154.5054145
53355,-144.9650161
26580,-139.0128707
51850,-137.0086269
39222,-135.1830667
52933,-134.9815561
55971,-134.9120856
54026,-133.0026929
53961,-130.9165656
27691,-129.5248365
42709,-129.1473594
54027,-128.9542712
33453,-128.8750647
27954,-127.0176766
46114,-125.030545
33275,-124.9298181
26715,-123.8280818
32951,-123.0342132
55263,-121.8959896
27854,-121.0038482
54243,-120.9806363
23712,-119.4790594
28659,-119.0649863
36499,-118.9142416
31102,-118.7345211
41589,-117.0029929
39122,-116.8073908
39360,-116.1484328
37843,-115.1213906
40425,-114.9066489
39035,-114.8340996
40946,-113.0592738
29162,-113.0055855
56757,-111.7461738
49817,-111.6457235
29643,-111.1883012
28378,-111.1406367
28252,-111.1279623
35496,-110.9792217
28935,-110.1711125
33207,-110.0194096
42070,-109.9083971
28868,-107.3279818
39127,-107.3123722
38551,-107.1196775
41622,-105.3625934
28446,-105.0466615
42967,-104.9800791
43226,-104.7199831
53960,-103.1145738
55970,-103.074999
40663,-102.8543533
31862,-102.7857109
36131,-102.7160758
36395,-102.2186102
37218,-101.2536709
29494,-101.2302873
36516,-101.0151608
44333,-100.8361749
38093,-100.4452153
49115,-99.47871023
40333,-99.22417206
32729,-99.18931507
29236,-99.03314211
33278,-98.00666247
41893,-97.10744849
33376,-97.02280937
41937,-96.82561677
25258,-95.85589441
41581,-95.06622205
40271,-95.06250983
32018,-94.93170898
27445,-94.82414276
38254,-94.23388978
54741,-93.10533385
32763,-92.81068883
38342,-91.12988982
54244,-91.02608637
56174,-91.00161705
22988,-89.50974006
54742,-89.02111997
28702,-88.98201411
56370,-88.88304663
39481,-87.20985864
37809,-87.01144879
35493,-86.12638919
55138,-85.3835026
48838,-85.24317079
31307,-85.00252507
41904,-83.98253419
29644,-82.99082146
33373,-81.9819474
40941,-81.01498642
40664,-78.77464194
37826,-77.00221853
36397,-76.21444298
41866,-75.18698327
38991,-75.00865335
42692,-74.86590619
39616,-74.05573912
32388,-73.82679849
35873,-72.68423184
40272,-71.81462488
49055,-70.08529862
40733,-70.02856761
42740,-69.88587662
43651,-67.63088668
49332,-67.09436691
42432,-66.9192365
41382,-65.23154531
32768,-65.03525688
43562,-63.02571305
37602,-63.0037351
39008,-61.50431326
41592,-61.36428281
35942,-61.05064666
42934,-61.02975681
39078,-61.00432333
55508,-58.98966602
38749,-58.01870149
40874,-55.4728393
40384,-55.00352532
38867,-53.02753434
39168,-52.48837686
26880,-48.9276406
43175,-47.48875924
36097,-45.01713186
41945,-43.17571842
32253,-42.99847099
39504,-40.95025154
39172,-40.51292091
29520,-38.96444167
39120,-38.00179864
34111,-37.54718053
41942,-35.99477305
42818,-34.50737374
43272,-33.48997305
33153,-31.48758407
37804,-31.19254822
37264,-30.04639646
43228,-30.04473846
28945,-30.00554108
26824,-27.50053529
44625,-27.49610734
43039,-24.82711355
25967,-22.748635
38087,-22.02388987
43174,-20.12849907
40258,-18.06913904
42950,-17.99582944
33055,-17.83328697
40374,-15.81643612
41036,-15.00724433
40895,-13.99499738
42075,-11.99202235
33595,-11.02578814
49258,-9.955985975
40875,-8.003471405
37816,-7.316837341
36830,-7.021161215
52817,-6.998583095
29273,-5.164326959
44624,-5.033304722
32794,-4.160238893
40107,-3.913815543
54743,-3.37751218
40424,-2.983518883
46113,-0.989747578
28358,-0.970006889
36033,-0.881651411
32487,-0.76917526
32478,-0.743773076
40613,-0.677005616
54048,0.506652057
54259,1.557496873
42801,1.903524432
53765,2.690108256
36831,2.8277227
39773,3.041374349
36868,4.069643815
32299,4.79253202
38652,4.974142243
55180,5.961578338
32258,6.005132447
44334,6.973321229
39163,7.035368391
45027,7.215685251
37258,8.92561059
55841,8.963304168
41310,8.982093429
34710,10.06042259
42749,10.28011188
53100,10.56783019
44801,11.01848891
44457,12.00681919
28946,12.92286021
29270,13.00350189
54225,13.02363026
36582,13.19679533
37836,15.97063924
49011,16.7770219
44479,16.97847972
27168,19.05617985
29055,19.16380947
33436,19.1771518
31306,19.21903298
37810,19.93091057
48618,20.74708573
38992,21.59282331
54033,23.00584472
36581,23.57062921
50322,23.98820909
39233,25.52130544
43700,25.78590328
29526,25.97905536
36592,25.98509398
41029,26.01260853
33154,26.02929127
38778,28.19853983
40364,28.20143522
22787,28.46351385
39285,28.51641539
28542,29.0015193
44186,30.46597032
36745,30.5136448
47306,30.93787073
38741,31.04257828
44475,31.18244369
39617,31.50631124
49330,32.5657121
41384,32.65666963
37392,32.78094637
33750,33.14238413
44800,35.49083769
36101,35.92868004
41191,36.12034584
39509,37.79722537
37779,37.98432933
44034,38.9705126
42814,39.03257491
40505,39.99944405
39522,42.00565298
33056,42.0062632
50212,42.04491839
38014,42.52355412
27825,43.96862437
42907,44.98678842
43632,45.1324404
49333,45.53112036
39079,45.99234955
38245,47.6006685
49056,47.71830056
44035,47.87909488
42747,47.96597294
44307,49.0135294
40984,50.0123798
41238,51.49085604
40617,51.99418887
37393,52.47536402
39034,52.78638623
40277,52.99707395
44481,54.66217088
39022,54.91142791
43286,54.98235575
37605,55.1001136
43698,55.15057606
40332,55.1747957
39635,55.73744939
39612,55.99988971
42698,56.50188876
36032,57.01705535
34713,57.5070307
39728,58.50403799
41748,60.00924585
44071,60.28773093
29155,61.29043804
44476,61.954241
39476,62.62412845
43864,62.88547855
35943,63.05568947
28899,63.89239536
39237,65.00514035
37481,65.73067523
37238,66.02717456
41911,66.43980549
38740,68.49476002
41747,68.4985407
43867,70.00946467
39020,70.46284343
38098,72.12691168
41752,73.89443202
39234,73.93460235
39498,73.97451158
41793,74.00400444
43824,74.05259565
41588,74.77624939
39508,74.96337864
40887,75.26892267
28117,75.69700941
44903,76.01520664
38107,76.54336885
39500,78.48232197
41552,78.50269369
45986,80.01985271
45344,80.09423335
41121,80.28454064
53813,81.44897166
55131,81.89953647
39216,82.13016853
40880,82.55735264
47256,82.9926757
38779,83.03442816
45026,83.06721665
52903,83.12475883
40269,83.1350554
44637,83.51884097
50319,83.76317845
36358,85.05196531
36106,85.17667637
33463,86.22189497
37749,86.49466261
39017,87.53467541
37606,88.04121406
38070,88.40976303
26388,89.41375204
40345,89.94793337
49818,90.41715918
47202,90.79773822
40147,91.49323458
52904,91.52404822
35362,91.53350893
33051,92.17660523
56372,93.25474552
42815,93.49358398
41028,93.55869368
43488,95.00165078
39460,95.03437271
45985,96.51425987
42695,97.24502329
39157,97.89462519
49062,98.00751279
38352,98.28754419
32404,98.60872085
35696,100.525831
49125,101.430033
50002,102.9065397
41021,103.4522638
37948,103.7420772
41882,104.6345142
37933,105.5011416
41194,105.7055585
37256,105.9981694
55683,106.3248071
41434,106.9098529
37763,106.9458621
44978,107.5537992
43587,108.0295514
34941,108.2367257
41380,108.3330191
37384,108.5944096
43539,109.5026652
37207,109.8517519
46112,109.8563467
32019,109.8805894
42951,109.8918758
41903,110.0685505
45807,110.4393161
42662,110.4998053
37677,110.5403614
41586,110.6549451
41241,111.2384078
40547,111.308886
29349,113.0751265
42984,113.1741398
31800,115.564731
42691,115.918821
44709,115.9378921
37265,116.0285908
45920,116.2138401
44337,117.0093544
46610,117.9119733
41944,118.0205607
43463,119.1151938
52940,119.3137752
28786,119.4993692
40141,119.9269516
36828,119.9538326
42942,122.1988604
20253,123.3083974
38331,124.048989
52255,125.0887611
55686,125.2058683
29272,128.0323492
43432,128.0643698
36744,128.1763195
45246,128.2586912
43823,128.2900288
41034,128.5178153
56759,129.5744963
41469,129.6359113
43920,130.0442502
49505,130.1620469
44067,130.4216247
41729,130.5084316
38332,131.877401
32767,131.9688277
29045,132.0752177
48808,133.319754
43450,134.0123966
45863,134.0572792
43339,134.1191721
45245,135.9096946
50574,137.2535548
45465,137.3365097
43611,138.0236223
43162,139.0084987
39613,139.8534753
39487,140.0384636
40940,140.2657543
40267,140.682553
41836,140.7828954
40982,142.0291072
