Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
YAMAL-E3,Russian Federation 🇷🇺,81.75°E,Non-Planned,Late-Stage,Yes,No,No,0.08°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=YAMAL-E3&sel_satname=YAMAL-E3&plan_id=
YAMAL-81.75E-1,Russian Federation 🇷🇺,81.75°E,Non-Planned,Early-Stage,No,n/a,No,0.08°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=YAMAL-81.75E-1&sel_satname=YAMAL-81.75E-1&plan_id=
JOR00000,Jordan 🇯🇴,81.76°E,Planned,Early-Stage,No,n/a,No,0.09°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=JOR00000&sel_satname=JOR00000&plan_id=plan
CHNSAT-30B-81.5E,China 🇨🇳,81.5°E,Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CHNSAT-30B-81.5E&sel_satname=CHNSAT-30B-81.5E&plan_id=plan
CHNSAT-M-81.5E,China 🇨🇳,81.5°E,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNSAT-M-81.5E&sel_satname=CHNSAT-M-81.5E&plan_id=
ARABSAT-9AS-81.5E,Saudi Arabia 🇸🇦,81.5°E,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-9AS-81.5E&sel_satname=ARABSAT-9AS-81.5E&plan_id=
CHNSAT-81.5E,China 🇨🇳,81.5°E,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CHNSAT-81.5E&sel_satname=CHNSAT-81.5E&plan_id=
ARABSAT-11AS-81.5E,Saudi Arabia 🇸🇦,81.5°E,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-11AS-81.5E&sel_satname=ARABSAT-11AS-81.5E&plan_id=
CHNHTSAT-81.5E,China 🇨🇳,81.5°E,Non-Planned,Early-Stage,No,n/a,No,0.17°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNHTSAT-81.5E&sel_satname=CHNHTSAT-81.5E&plan_id=
N-SAT-Y18-82E,Japan 🇯🇵,82.0°E,Non-Planned,Early-Stage,No,n/a,No,0.33°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y18-82E&sel_satname=N-SAT-Y18-82E&plan_id=
