License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
NSS-18,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-18&sel_satname=NSS-18&plan_id=
NSS-57,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-57&sel_satname=NSS-57&plan_id=
NSS-35,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-35&sel_satname=NSS-35&plan_id=
INTELSAT7 319.5E,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+319.5E&sel_satname=INTELSAT7+319.5E&plan_id=
NSS-FSS 40.5W,Netherlands 🇳🇱,40.5°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-FSS+40.5W&sel_satname=NSS-FSS+40.5W&plan_id=plan
INTELSAT8 319.5E,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+319.5E&sel_satname=INTELSAT8+319.5E&plan_id=
INTELSAT5A 319.5E,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT5A+319.5E&sel_satname=INTELSAT5A+319.5E&plan_id=
B-SAT-1X,Brazil 🇧🇷,40.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=B-SAT-1X&sel_satname=B-SAT-1X&plan_id=
NSS-35-1,Netherlands 🇳🇱,40.5°W,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=NSS-35-1&sel_satname=NSS-35-1&plan_id=
INTELSAT IBS 319.5E,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT+IBS+319.5E&sel_satname=INTELSAT+IBS+319.5E&plan_id=
INTELSAT K 319.5E,Netherlands 🇳🇱,40.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT+K+319.5E&sel_satname=INTELSAT+K+319.5E&plan_id=
NSS-G8-2,Netherlands 🇳🇱,40.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G8-2&sel_satname=NSS-G8-2&plan_id=
LUX-G6-51,Luxembourg 🇱🇺,40.5°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G6-51&sel_satname=LUX-G6-51&plan_id=
MT-SAT-41W,France 🇫🇷,41.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MT-SAT-41W&sel_satname=MT-SAT-41W&plan_id=
TDRS EAST,United States 🇺🇸,41.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS+EAST&sel_satname=TDRS+EAST&plan_id=
SE-8-41W,Norway 🇳🇴,41.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-41W&sel_satname=SE-8-41W&plan_id=
TDRS-EAST-ISS,United States 🇺🇸,41.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS-EAST-ISS&sel_satname=TDRS-EAST-ISS&plan_id=
AND00000,Andorra 🇦🇩,41.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AND00000&sel_satname=AND00000&plan_id=plan
KYPROS-41W-2,Cyprus 🇨🇾,41.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-41W-2&sel_satname=KYPROS-41W-2&plan_id=
UKDRS-A15,United Kingdom 🇬🇧,41.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKDRS-A15&sel_satname=UKDRS-A15&plan_id=
MEASAT-ROUTE-5C_1,Malaysia 🇲🇾,41.2°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-5C_1&sel_satname=MEASAT-ROUTE-5C_1&plan_id=
MEASAT-ROUTE-5C,Malaysia 🇲🇾,41.2°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-ROUTE-5C&sel_satname=MEASAT-ROUTE-5C&plan_id=
