License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
USASAT-66D,United States 🇺🇸,15.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-66D&sel_satname=USASAT-66D&plan_id=
IOMSAT-2A2,United Kingdom 🇬🇧,15.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-2A2&sel_satname=IOMSAT-2A2&plan_id=
IOMSAT-15W-B,United Kingdom 🇬🇧,15.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IOMSAT-15W-B&sel_satname=IOMSAT-15W-B&plan_id=plan
FLTSATCOM-C E ATL-2,United States 🇺🇸,15.5°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+E+ATL-2&sel_satname=FLTSATCOM-C+E+ATL-2&plan_id=
IRIS-4A,United States 🇺🇸,15.5°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IRIS-4A&sel_satname=IRIS-4A&plan_id=
SIGNSAT-15W,China 🇨🇳,14.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-15W&sel_satname=SIGNSAT-15W&plan_id=
GOMS-14.5W,Russian Federation 🇷🇺,14.5°W,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GOMS-14.5W&sel_satname=GOMS-14.5W&plan_id=
CTI00000,Côte d'Ivoire 🇨🇮,15.76°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CTI00000&sel_satname=CTI00000&plan_id=plan
ZSSRD-2,Russian Federation 🇷🇺,16.0°W,Planned,Notification of Space Station (N),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ZSSRD-2&sel_satname=ZSSRD-2&plan_id=plan
WSDRN,Russian Federation 🇷🇺,16.0°W,Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=WSDRN&sel_satname=WSDRN&plan_id=plan
WSDRN-M,Russian Federation 🇷🇺,16.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN-M&sel_satname=WSDRN-M&plan_id=
IK-16W-F,Russian Federation 🇷🇺,16.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IK-16W-F&sel_satname=IK-16W-F&plan_id=plan
INTERSPUTNIK-16W-F,Russian Federation 🇷🇺,16.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-F&sel_satname=INTERSPUTNIK-16W-F&plan_id=plan
NIGCOMSAT-2B,Nigeria 🇳🇬,16.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NIGCOMSAT-2B&sel_satname=NIGCOMSAT-2B&plan_id=
ZSSRD-2,Russian Federation 🇷🇺,16.0°W,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ZSSRD-2&sel_satname=ZSSRD-2&plan_id=
INTERSPUTNIK-16W-4,Russian Federation 🇷🇺,16.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-4&sel_satname=INTERSPUTNIK-16W-4&plan_id=
WSDRN,Russian Federation 🇷🇺,16.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN&sel_satname=WSDRN&plan_id=
INTERSPUTNIK-16W-2,Russian Federation 🇷🇺,16.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTERSPUTNIK-16W-2&sel_satname=INTERSPUTNIK-16W-2&plan_id=
WSDRN-M,Russian Federation 🇷🇺,16.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=WSDRN-M&sel_satname=WSDRN-M&plan_id=plan
SIRIUS-16W-1,Sweden 🇸🇪,16.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIRIUS-16W-1&sel_satname=SIRIUS-16W-1&plan_id=
