License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
UK-KA-137.5E-VB,United Kingdom 🇬🇧,137.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-137.5E-VB&sel_satname=UK-KA-137.5E-VB&plan_id=
UK-KA-137.5E,United Kingdom 🇬🇧,137.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-137.5E&sel_satname=UK-KA-137.5E&plan_id=
CHNHTSAT-137.2E,China 🇨🇳,137.2°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNHTSAT-137.2E&sel_satname=CHNHTSAT-137.2E&plan_id=
USGAE-28A,United States 🇺🇸,137.7°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-28A&sel_satname=USGAE-28A&plan_id=
PESSE-137E-VB,Netherlands 🇳🇱,137.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-137E-VB&sel_satname=PESSE-137E-VB&plan_id=
PESSE-137E-KA,Netherlands 🇳🇱,137.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-137E-KA&sel_satname=PESSE-137E-KA&plan_id=
AMS-B9-137E,Israel 🇮🇱,137.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AMS-B9-137E&sel_satname=AMS-B9-137E&plan_id=
QZSS-GS-ISR5,Japan 🇯🇵,137.0°E,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=QZSS-GS-ISR5&sel_satname=QZSS-GS-ISR5&plan_id=
AMS-B9-137E_1,Israel 🇮🇱,137.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AMS-B9-137E_1&sel_satname=AMS-B9-137E_1&plan_id=
QZSS-GS-A5,Japan 🇯🇵,137.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QZSS-GS-A5&sel_satname=QZSS-GS-A5&plan_id=
AMS-30B-B2-137E,Israel 🇮🇱,137.0°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AMS-30B-B2-137E&sel_satname=AMS-30B-B2-137E&plan_id=plan
MT-SAT-FSS-137E,France 🇫🇷,137.0°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MT-SAT-FSS-137E&sel_satname=MT-SAT-FSS-137E&plan_id=plan
S-SAT-2-137E,Japan 🇯🇵,137.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=S-SAT-2-137E&sel_satname=S-SAT-2-137E&plan_id=
G4SAT-138E,China 🇨🇳,138.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=G4SAT-138E&sel_satname=G4SAT-138E&plan_id=
