License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
PACIFISAT-159E,Papua New Guinea 🇵🇬,159.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PACIFISAT-159E&sel_satname=PACIFISAT-159E&plan_id=
PACIFISAT C/KU-2,Papua New Guinea 🇵🇬,159.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PACIFISAT+C/KU-2&sel_satname=PACIFISAT+C/KU-2&plan_id=
SMMSAT-7R_1,Sweden 🇸🇪,159.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SMMSAT-7R_1&sel_satname=SMMSAT-7R_1&plan_id=
PACIFISAT KA-2 159E,Papua New Guinea 🇵🇬,159.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PACIFISAT+KA-2+159E&sel_satname=PACIFISAT+KA-2+159E&plan_id=
SMMSAT-7R,Sweden 🇸🇪,159.0°E,Non-Planned,Due Diligence (U),Yes,n/a,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SMMSAT-7R&sel_satname=SMMSAT-7R&plan_id=
PESSE-159E,Netherlands 🇳🇱,159.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-159E&sel_satname=PESSE-159E&plan_id=
SE-8-159E,Norway 🇳🇴,159.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SE-8-159E&sel_satname=SE-8-159E&plan_id=
UKDSAT-G,United Kingdom 🇬🇧,159.0°E,Non-Planned,Due Diligence (U),Yes,n/a,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKDSAT-G&sel_satname=UKDSAT-G&plan_id=
UK-KA-159E,United Kingdom 🇬🇧,159.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-159E&sel_satname=UK-KA-159E&plan_id=
NUSANTARA-H3-A,Indonesia 🇮🇩,159.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-H3-A&sel_satname=NUSANTARA-H3-A&plan_id=
F-SAT-N7-159.5E,France 🇫🇷,159.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-159.5E&sel_satname=F-SAT-N7-159.5E&plan_id=
